k,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.2721677191782471e-23,1.4135196879758301e-24,1.2721677191782471e-23,1.4135196879758301e-24,0.49900099933366654,0.49900099933366654,0.9980019986673331,0.0004482035952047962,0.0004482035952047962,9.960079893439918e-05,0.0009960079893439916,8.051545508836878e-07,8.051545508836878e-07,1.8886341317024775e-07,1.8886341317024775e-07,1.988035928107871e-06,1.9285100424432464e-09,1.9285100424432464e-09,5.185020141548373e-10,3.968127659348244e-10,5.185020141548373e-10,5.290836879130993e-09,5.413097466023578e-12,5.413097466023578e-12,1.6716331409632207e-12,1.1656846742562711e-12,1.1656846742562711e-12,1.6716331409632207e-12,1.650083056248614e-11,5.691293066084722e-14,2.1045512922445626e-16,8.189938799637233e-19,3.3140358171271612e-21,1.3829963644539766e-23
2,6.384522806078457e-21,7.093914228976064e-22,6.384522806078457e-21,7.093914228976064e-22,0.49800399467199574,0.49800399467199574,0.9960079893439915,0.0008928287233533547,0.0008928287233533547,0.0001984063829674122,0.0019840638296741214,3.2013523496726558e-06,3.2013523496726558e-06,7.509345017750674e-07,7.509345017750674e-07,7.904573702895446e-06,1.5305148081499798e-08,1.5305148081499798e-08,4.114964367591168e-09,3.1492074241769132e-09,4.114964367591168e-09,4.198943232235884e-08,8.574777994087498e-11,8.574777994087498e-11,2.6480001812803777e-11,1.846537468722199e-11,1.846537468722199e-11,2.6480001812803777e-11,2.6138631288180147e-10,1.7994898202257792e-12,1.328187431076861e-14,1.0316726428548845e-16,8.332587108920312e-19,6.94072935232437e-21
3,2.4058241745253977e-19,2.6731379716948865e-20,2.4058241745253977e-19,2.6731379716948865e-20,0.49700898202696764,0.49700898202696764,0.9940179640539353,0.0013338968123636063,0.0013338968123636063,0.0002964215138585792,0.002964215138585792,7.1599539258920135e-06,7.1599539258920135e-06,1.6794953653326946e-06,1.6794953653326946e-06,1.7678898582449418e-05,5.124328433377315e-08,5.124328433377315e-08,1.3777343936103622e-08,1.0543885665385423e-08,1.3777343936103622e-08,1.40585142205139e-07,4.2977878732879405e-10,4.2977878732879405e-10,1.3272113954924798e-10,9.255080826720112e-11,9.255080826720112e-11,1.3272113954924798e-10,1.3101014702904864e-09,1.3501877259824579e-11,1.491855630364139e-13,1.7347305070158242e-15,2.0974549142584388e-17,2.615414647553971e-19
4,3.1407012280869574e-18,3.4896680312077303e-19,3.1407012280869574e-18,3.4896680312077303e-19,0.49601595741853033,0.49601595741853033,0.9920319148370607,0.0017714291760995134,0.0017714291760995134,0.0003936509280221142,0.003936509280221141,1.2652662798462507e-05,1.2652662798462507e-05,2.967908557664045e-06,2.967908557664045e-06,3.12411427122531e-05,1.2049771491596546e-07,1.2049771491596546e-07,3.239719084160389e-08,2.4793768501227467e-08,3.239719084160389e-08,3.305835800163662e-07,1.3447977621927242e-09,1.3447977621927242e-09,4.1529060233713177e-10,2.8959577232843416e-10,2.8959577232843416e-10,4.1529060233713177e-10,4.099368273716581e-09,5.621811828292023e-11,8.265689644228946e-13,1.2789526337996764e-14,2.05771501420098e-16,3.4143126844046333e-18
5,2.2936695642946185e-17,2.5485217381051317e-18,2.2936695642946185e-17,2.5485217381051317e-18,0.49502491687458405,0.49502491687458405,0.9900498337491681,0.0022054470149401994,0.0022054470149401994,0.0004900993366533778,0.004900993366533777,1.9651522054357296e-05,1.9651522054357296e-05,4.609616284355417e-06,4.609616284355417e-06,4.852227667742543e-05,2.3347183371401462e-07,2.3347183371401462e-07,6.277157669128517e-08,4.803947195761619e-08,6.277157669128517e-08,6.405262927682158e-07,3.2505292990360353e-09,3.2505292990360353e-09,1.0038046674840565e-09,6.999859527544636e-10,6.999859527544636e-10,1.0038046674840565e-09,9.90863983854911e-09,1.695176160451649e-10,3.109274391103033e-12,6.001721515555023e-14,1.2046143428366254e-15,2.4934893574624134e-17
6,1.160048579383102e-16,1.2889428659812246e-17,1.160048579383102e-16,1.2889428659812246e-17,0.49403585643096526,0.49403585643096526,0.9880717128619305,0.0026359714163463554,0.0026359714163463554,0.0005857714258547457,0.005857714258547456,2.812891095796787e-05,2.812891095796787e-05,6.598139607424563e-06,6.598139607424563e-06,6.945410113078486e-05,4.002246897289926e-07,4.002246897289926e-07,1.0760499202590202e-07,8.235075920349643e-08,1.0760499202590202e-07,1.0980101227132856e-06,6.6732304732339585e-09,6.6732304732339585e-09,2.0607781933285756e-09,1.4370482961473548e-09,1.4370482961473548e-09,2.0607781933285756e-09,2.034211392541978e-08,4.1678255495968915e-10,9.155169797971762e-12,2.1163907298699168e-13,5.087222086933559e-15,1.2611096349097357e-16
7,4.5531440824774e-16,5.059048980530445e-17,4.5531440824774e-16,5.059048980530445e-17,0.49304877213143095,0.49304877213143095,0.9860975442628619,0.0030630233554239275,0.0030630233554239275,0.000680671856760873,0.006806718567608728,3.805754159092191e-05,3.805754159092191e-05,8.927077657129833e-06,8.927077657129833e-06,9.396923849610349e-05,6.304779314986292e-07,6.304779314986292e-07,1.6951121340703892e-07,1.297279694441624e-07,1.6951121340703892e-07,1.7297062592554985e-06,1.223996956801619e-08,1.223996956801619e-08,3.779857817581004e-09,2.635818961020991e-09,2.6358189610209907e-09,3.779857817581003e-09,3.731129269323637e-08,8.900859525805879e-10,2.2764966652752524e-11,6.127377906294066e-13,1.714895709966448e-14,4.949804666454589e-16
8,1.4844071130949898e-15,1.649341236772211e-16,1.4844071130949898e-15,1.649341236772211e-16,0.49206366002764257,0.49206366002764257,0.9841273200552851,0.0034866236954851117,0.0034866236954851117,0.0007748052656633583,0.007748052656633582,4.9410455522097855e-05,4.9410455522097855e-05,1.1590106850862462e-05,1.1590106850862462e-05,0.00012200112474592062,9.33622640172922e-07,9.33622640172922e-07,2.5101514056775415e-07,1.9210342390389346e-07,2.5101514056775415e-07,2.5613789853852455e-06,2.067307980336715e-08,2.067307980336715e-08,6.3841091984755735e-09,4.451848954821122e-09,4.451848954821122e-09,6.3841091984755735e-09,6.30180759133277e-08,1.7146684154038681e-09,5.001941147995158e-11,1.5355698747738758e-12,4.901804532450831e-14,1.6137256195323653e-15
9,4.199908599376668e-15,4.66656511041852e-16,4.199908599376668e-15,4.66656511041852e-16,0.4910805161791504,0.4910805161791504,0.9821610323583008,0.003906793188606648,0.003906793188606648,0.0008681762641348109,0.008681762641348107,6.216102050758298e-05,6.216102050758298e-05,1.458098011906268e-05,1.458098011906268e-05,0.00015348400125329134,1.318726052802141e-06,1.318726052802141e-06,3.545546040455689e-07,2.713428092185476e-07,3.545546040455689e-07,3.617904122913968e-06,3.278478395464155e-08,3.278478395464155e-08,1.0124357028833766e-08,7.060046571229075e-09,7.060046571229077e-09,1.0124357028833766e-08,9.993837510940877e-08,3.053031087837354e-09,9.999391894848089e-11,3.4465813118794873e-12,1.235261392470726e-13,4.565796031775495e-15
10,1.0626037997486115e-14,1.1806708886095683e-15,1.0626037997486115e-14,1.1806708886095683e-15,0.4900993366533776,0.4900993366533776,0.9801986733067553,0.004323552476185454,0.004323552476185454,0.0009607894391523236,0.009607894391523233,7.628292722032416e-05,7.628292722032416e-05,1.7893526138100735e-05,1.7893526138100735e-05,0.00018835290671684977,1.7945381773756206e-06,1.7945381773756206e-06,4.824821437114154e-07,3.6924653855465453e-07,4.824821437114154e-07,4.923287180728727e-06,4.9471985831116106e-08,4.9471985831116106e-08,1.527757657859183e-08,1.0653555759955399e-08,1.0653555759955399e-08,1.527757657859183e-08,1.5080623633932668e-07,5.108661715490831e-09,1.855403665060031e-10,7.091567663960594e-12,2.8183926122071007e-13,1.1551756657184943e-14
11,2.455950681263906e-14,2.728834090293229e-15,2.455950681263906e-14,2.728834090293229e-15,0.489120117525605,0.489120117525605,0.97824023505121,0.004736922089491581,0.004736922089491581,0.0010526493532203515,0.010526493532203514,9.175018600922154e-05,9.175018600922154e-05,2.1521648570064323e-05,2.1521648570064323e-05,0.0002265436691585717,2.369498301130043e-06,2.369498301130043e-06,6.37066758602865e-07,4.875510907674986e-07,6.37066758602865e-07,6.500681210233314e-06,7.171122466563706e-08,7.171122466563706e-08,2.214533554634059e-08,1.544266957865956e-08,1.5442669578659556e-08,2.214533554634059e-08,2.185984595812744e-07,8.12941019127522e-09,3.2412639456311134e-10,1.3600107320111834e-11,5.933701191076192e-13,2.669908072860276e-14
12,5.2678184583146455e-14,5.853131620349606e-15,5.2678184583146455e-14,5.853131620349606e-15,0.48814285487895465,0.48814285487895465,0.9762857097579093,0.005146922450218526,0.005146922450218526,0.001143760544493006,0.011437605444930058,0.00010853712368741904,0.00010853712368741904,2.5459325309394593e-05,2.5459325309394593e-05,0.00026799289799362726,3.0517413936265122e-06,3.0517413936265122e-06,8.204956284647416e-07,6.279303279066899e-07,8.204956284647415e-07,8.372404372089198e-06,1.0055378854600597e-07,1.0055378854600597e-07,3.105228502497082e-08,2.1653777893748047e-08,2.1653777893748047e-08,3.105228502497082e-08,3.0651970292944973e-07,1.2410529415203925e-08,5.387231530952529e-10,2.461010972196102e-11,1.1690063192069098e-12,5.726740009688871e-14
13,1.0612161885784355e-13,1.1791290984204839e-14,1.0612161885784355e-13,1.1791290984204839e-14,0.4871675448043747,0.4871675448043747,0.9743350896087494,0.005553573871030904,0.005553573871030904,0.0012341275268957566,0.012341275268957563,0.0001266183803495451,0.0001266183803495451,2.9700607736313053e-05,2.9700607736313053e-05,0.0003126379761717163,3.849104406076448e-06,3.849104406076448e-06,1.0348758073950401e-06,7.91996791373755e-07,1.03487580739504e-06,1.0559957218316731e-05,1.3712098309678986e-07,1.3712098309678986e-07,4.234469841061848e-08,2.9528348513609588e-08,2.9528348513609588e-08,4.234469841061848e-08,4.179880600420358e-07,1.8297396775896575e-08,8.587330062263197e-10,4.241305757651632e-11,2.17819325163303e-12,1.1536671687061126e-13
14,2.0266564121902424e-13,2.2518404579891584e-14,2.0266564121902424e-13,2.2518404579891584e-14,0.4861941834006234,0.4861941834006234,0.9723883668012469,0.005956896556109497,0.005956896556109497,0.0013237547902465552,0.013237547902465549,0.00014596890621766198,0.00014596890621766198,3.4239619976982454e-05,3.4239619976982454e-05,0.00036041705238928885,4.7691324683774254e-06,4.7691324683774254e-06,1.282235889988993e-06,9.813029770323924e-07,1.282235889988993e-06,1.308403969376523e-05,1.825995516968828e-07,1.825995516968828e-07,5.6389057107771414e-08,3.932194095435023e-08,3.932194095435023e-08,5.638905710777141e-08,5.566210995180088e-07,2.6187931053241457e-08,1.3209492518216091e-09,7.012028199240667e-11,3.870406447594515e-12,2.2032145666036408e-13
