x,interval_begins,interval_ends,mean,analytical
0.0,0.0,0.0,0.0,0.0
0.001,0.001,0.001,0.001,0.0009958473207534134
0.002,0.002,0.002,0.001992,0.0019834249253757935
0.003,0.003,0.003,0.0029820000000000003,0.0029627860412937555
0.004,0.004,0.004,0.0039640000000000005,0.003933983582535595
0.005,0.003,0.005,0.00494,0.004897070151502846
0.006,0.004,0.006,0.005887,0.0058520980407320445
0.007,0.005,0.007,0.006849,0.00679911923464674
0.008,0.006,0.008,0.007779,0.007738185411299832
0.009,0.007,0.009,0.008699,0.008669347944106247
0.01,0.008,0.01,0.009633000000000001,0.00959265790356606
0.011,0.009,0.011,0.010553,0.010508166058978056
0.012,0.01,0.012,0.01148,0.011415922880143824
0.013,0.009,0.013,0.012362,0.012315978539062428
0.014,0.01,0.014,0.013245,0.01320838291161569
0.015,0.011,0.015,0.014138999999999999,0.014093185579244142
0.016,0.012,0.016,0.015035,0.01497043583061373
0.017,0.013,0.017,0.015886,0.015840182663273264
0.018,0.014,0.018,0.016767999999999998,0.016702474785302696
0.019,0.014,0.019,0.017614,0.01755736061695231
0.02,0.014,0.02,0.018491,0.01840488829227279
0.021,0.015,0.021,0.019368,0.019245105660736287
0.022,0.016,0.022,0.020208,0.0200780602888485
0.023,0.017,0.023,0.021006,0.020903799461751856
0.024,0.018,0.024,0.02184,0.021722370184819803
0.025,0.018,0.025,0.022627,0.022533819185242214
0.026,0.019,0.026,0.023452,0.02333819291360212
0.027,0.019,0.027,0.024268,0.024135537545443633
0.028,0.02,0.028,0.025072,0.024925898982831176
0.029,0.021,0.029,0.025897,0.02570932285590012
0.03,0.022,0.03,0.026642,0.026485854524398826
0.031,0.022,0.031,0.027421,0.027255539079222117
0.032,0.023,0.032,0.028214,0.028018421343936235
0.033,0.023,0.033,0.028958,0.028774545876295434
0.034,0.024,0.034,0.029716,0.029523956969750048
0.035,0.025,0.035,0.030446,0.03026669865494631
0.036,0.026,0.036,0.031191,0.03100281470121779
0.037,0.026,0.037,0.031879,0.031732348618068604
0.038,0.026,0.038,0.032655,0.03245534365664834
0.039,0.027,0.039,0.033374,0.033171842811218905
0.04,0.028,0.04,0.03409,0.03388188882061314
0.041,0.028,0.041,0.034743,0.034585524169685425
0.042,0.029,0.04,0.035441,0.03528279109075416
0.043,0.03,0.041,0.03616,0.03597373156503635
0.044,0.03,0.042,0.036821,0.03665838732407412
0.045,0.031,0.043,0.037505,0.0373367998511534
0.046,0.031,0.044,0.0382,0.0380090103827147
0.047,0.032,0.045,0.038858,0.0386750599097561
0.048,0.032,0.046,0.039534,0.03933498917922837
0.049,0.033,0.047,0.040194,0.039988838695422434
0.05,0.033,0.048,0.040857,0.040636648721349145
0.051,0.034,0.048,0.041482,0.041278459280111285
0.052,0.035,0.048,0.042146,0.041914310156268106
0.053,0.035,0.049,0.042768,0.04254424089719215
0.054,0.036,0.05,0.043404,0.043168290814418676
0.055,0.036,0.051,0.044013,0.04378649898498746
0.056,0.036,0.052,0.044634,0.04439890425277728
0.057,0.037,0.053,0.045238,0.04500554522983287
0.058,0.038,0.053,0.045862,0.04560646029768455
0.059,0.039,0.054,0.046436,0.04620168760866064
0.06,0.039,0.054,0.047035,0.04679126508719238
0.061,0.039,0.055,0.047609,0.04737523043111169
0.062,0.039,0.056,0.04824,0.047953621112941866
0.063,0.04,0.057,0.048774,0.04852647438118084
0.064,0.041,0.058,0.049395,0.04909382726157751
0.065,0.041,0.058,0.049958,0.04965571655840094
0.066,0.041,0.058,0.050532,0.05021217885570242
0.067,0.042,0.059,0.051073,0.05076325051857064
0.068,0.042,0.06,0.051596,0.05130896769437977
0.069,0.043,0.061,0.052142,0.051849366314030726
0.07,0.043,0.061,0.052655,0.05238448209318539
0.071,0.043,0.062,0.053202,0.052914350533494116
0.072,0.044,0.062,0.053722,0.05343900692381632
0.073,0.044,0.063,0.05428,0.05395848634143429
0.074,0.044,0.064,0.054825,0.054472823653260304
0.075,0.045,0.065,0.055278,0.054982053517036965
0.076,0.046,0.065,0.055786,0.05548621038253091
0.077,0.046,0.065,0.05628,0.05598532849271986
0.078,0.046,0.066,0.056819,0.05647944188497308
0.079,0.047,0.067,0.057334,0.05696858439222522
0.08,0.047,0.068,0.057822,0.057452789644143756
0.081,0.048,0.068,0.058284,0.05793209106828974
0.082,0.048,0.069,0.058743000000000004,0.058406521891272295
0.083,0.049,0.069,0.059249,0.05887611513989654
0.084,0.049,0.07,0.059785,0.0593409036423052
0.085,0.05,0.07,0.060263,0.05980092002911381
0.086,0.05,0.071,0.060707000000000004,0.06025619673453966
0.087,0.05,0.072,0.061254,0.06070676599752446
0.088,0.051,0.072,0.061731,0.06115265986285064
0.089,0.051,0.073,0.062191,0.061593910182251556
0.09,0.051,0.073,0.062601,0.06203054861551551
0.091,0.052,0.074,0.063051,0.062462606631583525
