x,interval_begins,interval_ends,mean,analytical
0.001,0.0,0.0,0.0,2.9146269783703336e-11
0.002,0.0,0.0,0.0,4.6117911517088005e-10
0.003,0.0,0.0,0.0,2.308879742310572e-09
0.004,0.0,0.0,0.0,7.216437954573365e-09
0.005,0.0,0.0,0.0,1.742326464078953e-08
0.006,0.0,0.0,0.0,3.572901910435821e-08
0.007,0.0,0.0,0.0,6.545981971038277e-08
0.008,0.0,0.0,0.0,1.1043560702713239e-07
0.009,0.0,0.0,0.0,1.7493862932331558e-07
0.01,0.0,0.0,0.0,2.6368302095420605e-07
0.011,0.0,0.0,0.0,3.8178544482774603e-07
0.012,0.0,0.0,0.0,5.347367707866886e-07
0.013,0.0,0.0,0.0,7.283747623748546e-07
0.014,0.0,0.0,0.0,9.688577450748973e-07
0.015,0.0,0.0,0.0,1.2626392297117583e-06
0.016,0.0,0.0,0.0,1.616443465310701e-06
0.017,0.0,0.0,0.0,2.037241896281486e-06
0.018,0.0,0.0,0.0,2.5322304993708326e-06
0.019,0.0,0.0,0.0,3.108807976385103e-06
0.02,0.0,0.0,0.0,3.7745547792324388e-06
0.021,0.0,0.0,0.0,4.537212944371209e-06
0.022,0.0,0.0,0.0,5.404666714276712e-06
0.023,0.0,0.0,0.0,6.38492392405389e-06
0.024,0.0,0.0,0.0,7.486098131828255e-06
0.025,0.0,0.0,0.0,8.716391472041364e-06
0.026,0.0,0.0,0.0,1.0084078211261993e-05
0.027,0.0,0.0,0.0,1.1597488986597752e-05
0.028,0.0,0.0,0.0,1.3264995707256863e-05
0.029,0.0,0.0,0.0,1.5094997100264905e-05
0.03,0.0,0.0,0.0,1.7095904881786283e-05
0.031,0.0,0.0,0.0,1.9276130535937694e-05
0.032,0.0,0.0,0.0,2.1644072683406587e-05
0.033,0.0,0.0,0.0,2.4208105022608038e-05
0.034,0.0,0.0,0.0,2.697656482652138e-05
0.035,0.0,0.0,0.0,2.995774197875129e-05
0.036,0.0,0.0,0.0,3.315986853274768e-05
0.037,0.0,0.0,0.0,3.659110877850815e-05
0.038,0.0,0.0,0.0,4.025954980145833e-05
0.039,0.0,0.0,0.0,4.4173192518577996e-05
0.04,0.0,0.0,0.0,4.833994317720016e-05
0.041,0.0,0.0,0.0,5.276760530226352e-05
0.042,0.0,0.0,0.0,5.74638720781456e-05
0.043,0.0,0.0,0.0,6.243631915154186e-05
0.044,0.0,0.0,0.0,6.76923978421879e-05
0.045,0.0,0.0,0.0,7.323942874854485e-05
0.046,0.0,0.0,0.0,7.908459573588868e-05
0.047,0.0,0.0,0.0,8.52349402945523e-05
0.048,0.0,0.0,0.0,9.169735625637256e-05
0.049,0.0,0.0,0.0,9.847858485769712e-05
0.05,0.0,0.0,0.0,0.00010558521013758909
0.051,0.0,0.0,0.0,0.00011302365466016208
0.052,0.0,0.0,0.0,0.00012080017555024789
0.053,0.0,0.0,0.0,0.00012892086083187825
0.054,0.0,0.0,0.0,0.00013739162605932697
