n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,498.958,499.042,0.504,0.034,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,497.953,498.056,0.977,0.084,0.921,0.003,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.009
1000,3,997.0,496.91,497.105,1.47,0.131,1.369,0.006,0.0,0.001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015
1000,4,996.0,495.873,496.159,1.947,0.178,1.811,0.018,0.0,0.001,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032
1000,5,995.0,494.858,495.186,2.424,0.229,2.259,0.021,0.0,0.002,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.044
1000,6,994.0,493.821,494.246,2.906,0.274,2.686,0.03,0.0,0.003,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067
1000,7,993.0,492.731,493.358,3.411,0.32,3.093,0.039,0.002,0.004,0.04,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.089
1000,8,992.0,491.667,492.451,3.898,0.366,3.502,0.053,0.003,0.004,0.054,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117
1000,9,991.0,490.592,491.55,4.383,0.431,3.904,0.066,0.003,0.005,0.064,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141
1000,10,990.0,489.546,490.638,4.854,0.477,4.306,0.083,0.004,0.006,0.081,0.001,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,2.177
