n,k,all-cycles,A-cycles,B-cycles,AA-cycles,AB-cycles,BB-cycles,AAA-cycles,AAB-cycles,ABB-cycles,BBB-cycles,AAAA-cycles,AAAB-cycles,AABB-cycles,ABBB-cycles,BBBB-cycles,AAAAA-cycles,AAAAB-cycles,AAABB-cycles,AABBB-cycles,ABBBB-cycles,BBBBB-cycles,max_cycle_len
1000,0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,498.975,499.025,0.49,0.045,0.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,497.94,498.06,0.99,0.08,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,3,997.0,496.83,497.185,1.5,0.125,1.345,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015
1000,4,996.0,495.76,496.255,1.995,0.205,1.77,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015
1000,5,995.0,494.635,495.39,2.52,0.25,2.18,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025
1000,6,994.0,493.58,494.455,3.015,0.3,2.615,0.03,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035
1000,7,993.0,492.59,493.445,3.48,0.36,3.09,0.03,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035
1000,8,992.0,491.6,492.45,3.94,0.4,3.56,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05
1000,9,991.0,490.57,491.495,4.405,0.47,3.995,0.05,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.065
1000,10,990.0,489.615,490.495,4.835,0.53,4.415,0.06,0.0,0.005,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11
1000,11,989.0,488.595,489.555,5.31,0.555,4.84,0.075,0.0,0.005,0.06,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,2.15
1000,12,988.0,487.49,488.7,5.8,0.595,5.23,0.1,0.005,0.005,0.07,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,2.185
1000,13,987.0,486.425,487.815,6.275,0.65,5.605,0.12,0.005,0.005,0.09,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.235
1000,14,986.0,485.415,486.895,6.7,0.705,5.985,0.15,0.01,0.01,0.12,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.29
1000,15,985.0,484.33,486.02,7.2,0.74,6.37,0.165,0.01,0.015,0.14,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.32
1000,16,984.0,483.22,485.185,7.695,0.78,6.735,0.19,0.01,0.02,0.145,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.37
1000,17,983.0,482.31,484.16,8.07,0.845,7.175,0.21,0.015,0.025,0.16,0.005,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,2.415
1000,18,982.0,481.32,483.2,8.495,0.91,7.585,0.235,0.015,0.025,0.185,0.005,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,2.45
1000,19,981.0,480.33,482.305,8.905,0.94,7.92,0.27,0.025,0.04,0.23,0.005,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.53
