n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,0,1000.0,900.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,899.3977,98.6023,0.2008,0.2007,0.5985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,898.7912,97.2283,0.4002,0.4032,1.1576,0.0001,0.0005,0.0039,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0195
1000,3,997.0003,898.2014,95.8592,0.5959,0.5877,1.697,0.0002,0.0016,0.015,0.0414,0.0,0.0,0.0,0.0003,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,2.06
1000,4,996.0003,897.5894,94.5318,0.8019,0.7678,2.1931,0.001,0.0026,0.029,0.0794,0.0,0.0001,0.0001,0.0013,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,2.1196
1000,5,995.0009,896.9966,93.1991,0.9963,0.9464,2.6775,0.0013,0.0049,0.0467,0.1233,0.0,0.0001,0.0004,0.0028,0.0054,0.0,0.0,0.0,0.0,0.0001,0.0,2.1894
1000,6,994.0013,896.397,91.8937,1.1933,1.1193,3.1285,0.0025,0.0078,0.0655,0.1757,0.0,0.0001,0.0013,0.0051,0.0109,0.0,0.0,0.0,0.0001,0.0003,0.0002,2.2736
1000,7,993.0028,895.8002,90.61,1.3915,1.2848,3.5447,0.0038,0.0103,0.0868,0.2398,0.0,0.0001,0.0016,0.0086,0.0186,0.0,0.0,0.0,0.0002,0.0007,0.001,2.3711
1000,8,992.0039,895.211,89.3361,1.5855,1.4403,3.9456,0.0051,0.0138,0.1134,0.3047,0.0,0.0002,0.0024,0.0132,0.0274,0.0,0.0,0.0,0.0005,0.0016,0.0028,2.4768
1000,9,991.0054,894.6204,88.0804,1.7811,1.5922,4.3192,0.0063,0.0178,0.142,0.3763,0.0,0.0002,0.0025,0.0192,0.0404,0.0,0.0,0.0001,0.0006,0.002,0.0039,2.5884
1000,10,990.0067,894.0412,86.8372,1.9653,1.7441,4.666,0.008,0.0234,0.1729,0.4503,0.0,0.0001,0.0036,0.0267,0.0556,0.0,0.0001,0.0001,0.0008,0.0031,0.0069,2.7021
1000,11,989.0085,893.4496,85.6194,2.1594,1.888,4.9913,0.0095,0.0271,0.2071,0.5263,0.0,0.0001,0.005,0.0351,0.073,0.0,0.0001,0.0001,0.0009,0.0046,0.0095,2.8133
1000,12,988.0097,892.8634,84.4123,2.3493,2.0279,5.2962,0.0106,0.0329,0.2424,0.6104,0.0,0.0004,0.0062,0.0431,0.0876,0.0,0.0001,0.0001,0.0022,0.0064,0.0144,2.923
1000,13,987.0127,892.2578,83.2472,2.5478,2.1662,5.5676,0.0132,0.0378,0.2734,0.6948,0.0,0.0006,0.0079,0.0532,0.1061,0.0,0.0001,0.0002,0.003,0.0102,0.0191,3.0318
1000,14,986.0149,891.6589,82.0881,2.7462,2.293,5.8301,0.0153,0.0442,0.309,0.7766,0.0,0.0006,0.0096,0.0642,0.1263,0.0,0.0001,0.0002,0.0032,0.0143,0.0247,3.1394
1000,15,985.0178,891.0644,80.9409,2.9395,2.4255,6.0712,0.0172,0.05,0.3439,0.8588,0.0,0.0007,0.011,0.0759,0.1492,0.0,0.0001,0.0003,0.0037,0.019,0.0319,3.2457
1000,16,984.0194,890.4703,79.8065,3.1304,2.5518,6.2961,0.0203,0.0567,0.3805,0.9453,0.0,0.001,0.0133,0.0884,0.1733,0.0,0.0001,0.0006,0.0045,0.0218,0.0377,3.3435
1000,17,983.0215,889.8772,78.683,3.3245,2.672,6.5115,0.0227,0.0623,0.4185,1.0262,0.0002,0.0011,0.0148,0.1009,0.2011,0.0,0.0001,0.0007,0.0054,0.0271,0.0459,3.4425
1000,18,982.023,889.2848,77.5763,3.5148,2.7877,6.706,0.026,0.071,0.4568,1.1111,0.0002,0.0011,0.0171,0.1151,0.2274,0.0,0.0001,0.0008,0.0062,0.032,0.0543,3.5395
1000,19,981.0245,888.6996,76.4964,3.7034,2.8918,6.8676,0.0295,0.0784,0.496,1.1972,0.0002,0.0014,0.02,0.1317,0.2568,0.0,0.0001,0.0009,0.008,0.0364,0.064,3.6491
1000,20,980.026,888.1027,75.4266,3.8946,3.0039,7.0308,0.032,0.0853,0.5361,1.2691,0.0004,0.0019,0.0237,0.145,0.2875,0.0,0.0001,0.001,0.0099,0.0432,0.0763,3.7576
1000,21,979.0288,887.508,74.3754,4.0883,3.1041,7.1806,0.0358,0.0919,0.5734,1.3442,0.0006,0.0023,0.0267,0.1631,0.3121,0.0,0.0001,0.001,0.0113,0.0498,0.0892,3.8702
1000,22,978.0313,886.9023,73.3354,4.2817,3.2121,7.3238,0.0394,0.0997,0.6128,1.4085,0.0006,0.0026,0.0305,0.18,0.346,0.0,0.0002,0.0009,0.0126,0.056,0.1008,3.9733
1000,23,977.0349,886.2997,72.3145,4.475,3.3137,7.4393,0.043,0.1071,0.6537,1.4807,0.0008,0.0025,0.0338,0.1973,0.3822,0.0,0.0002,0.001,0.0152,0.0648,0.1107,4.0761
1000,24,976.0385,885.721,71.291,4.6606,3.405,7.5529,0.0458,0.1139,0.6939,1.5489,0.0009,0.0031,0.0376,0.2153,0.4132,0.0,0.0002,0.0017,0.0168,0.0729,0.1233,4.1925
1000,25,975.042,885.1349,70.2919,4.8476,3.4901,7.6487,0.0501,0.1213,0.7347,1.6187,0.0009,0.0034,0.0426,0.2305,0.443,0.0,0.0003,0.0019,0.0188,0.0824,0.1366,4.3105
1000,26,974.0468,884.5447,69.3107,5.0363,3.5671,7.7378,0.0547,0.1296,0.7821,1.6789,0.0009,0.0041,0.0453,0.249,0.4721,0.0,0.0003,0.0024,0.0215,0.0897,0.1513,4.4288
1000,27,973.0497,883.9701,68.327,5.2163,3.6447,7.8221,0.0596,0.138,0.8239,1.7334,0.001,0.0047,0.0488,0.2687,0.5027,0.0,0.0003,0.0028,0.0235,0.1001,0.1661,4.5526
