k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.01042177330077986,0.010019149612650284,0.00020026726784376145,100.0,100.0,100.0,100.0,5.442279492659026,3.300195209321178,5.958296738722509,0.3992010656008382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.017471721591298093,0.016464090137905202,0.0005009366429018505,100.0,100.0,100.0,100.0,5.320389888297483,0.7138999834579542,4.546688917254652,0.498303426573657,0,0,0,6.7117449890885235,163.48579009651488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.01690034249990095,0.01609731316371207,0.00039879256582025976,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,3.897924181296371,4.007548722308504,2.6864366715632224,0.26194015525599,78.99884814730034,0,16.025231733365263,10.500575926349828,26.277847017495848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.013702529001090615,0.011297267628425733,0.0012010682305442207,99.99999999999991,100.0,99.99999999999991,100.0,2.8288987328846185,1.7185860522258787,1.2245243485436192,0.5931999944156326,153.05325596925013,0,25.80228605839887,15.024207258750067,56.2057135612655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.023017648543690386,0.01880019013971401,0.0021043574650902955,99.99999999999956,99.99999999999994,99.99999999999956,99.99999999999994,3.354644393505731,0.5883698471850131,1.7742046580618245,0.8297578605063456,118.35024504841445,0,7.807674312891671,31.01014702904865,67.31819543939804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.022848992852176956,0.01763600743837465,0.0026023952255691523,99.99999999999808,99.99999999999979,99.99999999999808,99.99999999999979,2.7675611823550166,1.0521240110226833,1.1889219326815839,0.8511466054932983,56.271727544265985,559.8139607424564,5.7408627510776675,40.64455478983935,50.98717637127144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0204427508440948,0.014647088355399648,0.0028947530915096344,99.99999999999355,99.99999999999928,99.99999999999355,99.99999999999928,2.139828900194009,1.9204817347445244,0.8236785853827383,0.8056169103945205,35.91979139614968,346.3538828564917,10.729223428701681,31.232902037661752,36.18730216826591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.030830723308764237,0.025465821535522817,0.0026745278467488524,99.99999999998164,99.9999999999979,99.99999999998164,99.9999999999979,2.143595411588227,3.989434242458707,1.6508366030644706,0.6659915816207419,17.643941719280598,65.57295501232089,5.364607735113293,33.541771681345566,25.77435540816559,6.637735982707795,0,0,0,6.637735982707795,28.06894926926228,0,0,0,0,0,0,0,0,0,0,0,0
9,0.03330831467445442,0.02798835157703093,0.002650588595334358,99.99999999995376,99.99999999999469,99.99999999995376,99.99999999999469,2.183445453013322,3.7498598520165283,1.712918214179845,0.632223402219212,19.5404240530442,108.29971598660971,32.554364718751636,19.5404240530442,25.80655840433717,31.872605280214117,64.5445395954431,72.86571907814523,0,34.06369735989295,27.64191754172064,0,0,99.2939953428771,0,0,0,90.00616248905912,0,0,0,0,0
10,0.029459165306538856,0.02073911449025431,0.004353726014566705,99.99999999989421,99.99999999998795,99.99999999989421,99.99999999998795,1.982487504297112,3.3411027009734857,0.7821090019919341,0.8984590869186978,23.03697938761961,78.93526138100734,62.66841943727941,27.138212033873614,31.715319382412446,79.45381773756208,51.75178562885846,63.075346144534535,0,10.273091131218965,1.5342563854254758,0,0,98.93464442400446,0,0,0,84.91937636606734,0,0,0,0,0
11,0.023950267300008262,0.013876561648075351,0.005033275833657949,99.99999999977666,99.99999999997476,99.99999999977666,99.99999999997476,1.6215557737989552,2.8921260866834486,0.23110642174314064,0.9271196969081152,20.72392895950202,53.72606121474516,43.477657133762165,25.685186314002113,27.271724246388608,136.9498301130043,36.2933241397135,51.24489092325014,0,18.474915056502148,30.013624204666268,0,0,98.45573304213403,0,0,0,78.14015404187256,0,0,0,0,0
12,0.028248661172451943,0.018668327286783613,0.004784664196903985,99.99999999956083,99.99999999995026,99.99999999956083,99.99999999995026,1.5508330103571997,2.906575170373008,0.4473546100414818,0.801340460277021,11.893941945792823,41.44069616330332,21.23488242568853,23.337640553885276,19.639686604297886,205.17413936265123,17.950437153525844,37.20696720933101,17.950437153525836,52.587069681325616,39.54007286815329,0,0,97.8346222106252,0,0,0,69.34802970705503,0,0,0,0,0
13,0.025571623937656877,0.01589656038036261,0.0048332329608215315,99.99999999918096,99.99999999990756,99.99999999918096,99.99999999990756,1.146780508527891,3.357280587646303,0.29932943888212776,0.7297677850903879,4.643289545078593,35.002762437786615,23.752532234637716,19.451302216551976,14.51940519110487,284.9104406076449,3.4875807395039957,20.800320862624496,3.487580739504017,92.45522030382243,75.99928697194551,0,0,97.04716514863904,0,0,0,58.201193995796416,0,0,0,0,0
14,0.022461791790208713,0.015591461405506142,0.00343154519150735,99.99999999854354,99.99999999983599,99.99999999854354,99.99999999983599,0.8010565177436005,3.1635120521905473,0.48745877377693325,0.4695646431161807,0.021297111190421495,26.813407322157243,18.06765509304294,8.932019565419386,7.266979877764525,138.4566234188713,28.223588998899302,1.8697022967607584,28.223588998899302,58.971082279247504,63.55049617206538,0,0,96.06780590456496,0,0,0,44.33789004819912,0,0,0,0,0
15,0.020565253400499754,0.013648202565047441,0.0034555991174987843,99.99999999751546,99.99999999972083,99.99999999751546,99.99999999972083,0.7508102780065788,2.374098108059892,0.28254616964314105,0.4547388925112408,0.26110268522077856,22.095494282328165,26.034058614016157,8.8653323631904,7.380948661110356,93.96949951004233,56.45276503690668,40.13287052159185,21.773617481546655,16.381699706025394,22.804368160837218,0,0,94.8696747945705,0,0,0,27.377764489135718,0,0,0,0,0
16,0.015550281012107441,0.007579954242540507,0.003983825918626341,99.9999999959067,99.99999999954194,99.9999999959067,99.99999999954194,0.43290584370849783,2.6713359760591664,0.005389448900607469,0.47032301550717986,2.3942495481829242,19.42618849076186,19.42618849076186,9.522731611631967,5.952978639448223,133.5313877752747,88.3627654483698,27.922411180470757,5.8186172758150985,40.118832665164824,47.85146424518819,0,0,93.42468073305658,0,0,0,6.923174410517255,0,0,0,0,0
17,0.012986202799390919,0.003982512336241132,0.004501125420740534,99.99999999347025,99.99999999927091,99.99999999347025,99.99999999927091,0.305584839368333,3.2738851960253403,0.04066261726315907,0.49227460176284127,0.75578039898244,18.060363528900126,18.060363528900126,6.762721085943125,5.444662800931495,66.72816518085601,124.13388460526615,14.234482931658384,12.066942302633079,66.72816518085601,52.472030343718394,0,0,91.70360053023849,0,0,0,17.43954857824433,0,0,0,0,0
18,0.005213975173184526,0.007909634106508447,0.006561786474595743,99.99999998985525,99.99999999887363,99.99999998985525,99.99999999887363,0.15498402343666381,3.958967175448916,0.49768638850473573,0.7021809070328128,3.3216607049137172,25.58626099149451,15.120739242203294,10.081021685609015,8.92559597133364,40.24175259926306,163.93921065320848,32.668568710916226,12.020263115597185,63.615378032473565,34.662862578167534,0,0,89.67616523053846,0,0,0,46.1388761885161,0,0,0,0,0
19,0.007577172276196701,0.009654992748902878,0.008616071720134882,99.99999998466781,99.99999999829734,99.99999998466781,99.99999999829734,0.4237425724714881,3.350670007528721,0.8101318552670022,0.8975861071064061,6.4918975018673635,27.499944154113336,17.692256142258476,14.432082841918868,12.427616779598404,27.262893340232743,2.648259648912022,21.44265843195511,38.41104421065279,63.62372000887065,16.381246767473915,0,0,87.3111435639699,0,0,0,79.6169021577216,0,0,0,0,0
20,0.0068114414049357105,0.012432901238017642,0.009622092327045239,99.99999997731781,99.9999999974832,99.99999997731781,99.9999999974832,0.38312808777310986,3.6915653222080222,0.8822820629954189,0.947867762579973,6.43045240605891,24.825839241674096,20.367773554471444,13.581905729786179,12.091050453985186,20.477638236386586,78.15486147986941,9.104662510270737,28.738055408052244,65.65675257503156,25.372879296178283,0,0,92.28821129060786,0,0,0,9.164100410397667,0,0,0,0,0
21,0.012910674201980714,0.005191857959210646,0.009051117143760085,99.99999996716295,99.99999999634488,99.99999996716295,99.99999999634488,0.5991835018999329,2.925810065371433,0.6332871672126335,0.8521291054862141,6.034222026769044,13.646935403049934,19.14598066448784,10.112461335490948,9.518914769432849,26.826914180836923,104.59321135344898,21.711781369853732,18.162715458620415,90.2403712712554,34.689408395950565,0,0,90.71954277082511,0,0,13.808561405616349,12.42042514415114,0,0,0,0,0
22,0.013791224809497356,0.005429759060661256,0.009610317166601743,99.99999995325746,99.99999999479675,99.99999995325746,99.99999999479675,0.5808457115810648,2.954049672865272,0.62443626481504,0.8429014277332431,3.794780577316425,15.126168439284525,16.794663634056757,9.066896416164246,8.063450093864097,44.659589442485235,133.36032535577877,10.703957134268334,6.65586985768849,73.59150733098227,44.316836954717786,0,0,88.93274356106522,0,0,2.786180703033694,4.441579741943501,0,0,0,0,0
