k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0,1.2335811384723962e-14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0038588987967448757,0.003533652964780775,0.000208347874546342,100.0,99.99999999999999,0.7209556960622208,6.706518618045116,3.3861755481363707,0.4152679246586599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.005574501498128447,0.005583811651022331,0.0005667255886470864,100.0,100.0,0.16215805166758096,4.95995760866829,2.719616129181126,0.5635899711333512,556.9602433227465,36.988394504135606,0,72.84012087423451,208.125063974734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.00916155540787143,0.008639982030845319,0.0006391856738214526,99.99999999999997,100.0,0.48678092971987674,3.9823378270926018,2.547088763502296,0.421710465143774,95.64804701024201,2.0730655346356426,38.512894442741185,19.07257002363522,48.93624843234934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.011194832992986358,0.010815264817784605,0.0009271273955873344,99.99999999999962,99.99999999999996,0.5778886139125795,1.2496675506120631,2.1768915950286782,0.48106292599051936,78.59176329931672,22.735861815211152,46.904801975647366,24.473780765916604,39.05437509993758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.006116616777348036,0.007459942477045648,0.0013636085978799327,99.99999999999783,99.9999999999997,0.05613463672536058,0.22375626924316433,1.3435212468345619,0.5940154644526794,54.48676510753454,6.713319343306188,63.02156059915726,33.05727302082392,38.637208241034415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.002443463126517091,0.004912944569555686,0.0016112527666808864,99.99999999999088,99.99999999999878,0.1732219707559981,2.201422443263491,0.6753340909280854,0.5816064205440002,40.04204255703123,11.027254510223528,63.38893511945725,29.813912611555793,30.246113625531457,101.17782552005052,52.000157246702436,0,0,0,83.04264520224454,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00033826385533743884,0.0036068645204376795,0.0018370398563053386,99.99999999996942,99.99999999999588,0.23846508940075103,2.491121959117005,0.4637345927801749,0.5589035494334084,28.231780232467965,14.513633611012928,57.944769994679206,27.135644584513955,22.855340373231275,58.17725988293851,24.458658385802067,0,0,0,92.07953782231517,0,0,0,0,0,0,0,0,0,0,0,0
8,0.004648408691160694,0.006372177317067616,0.0014302403932079826,99.99999999991279,99.99999999998829,0.08435599926882059,2.0281050208818345,0.5432696242804539,0.3838129338332648,14.95875744002886,10.312357345150177,59.537116450635715,8.491919784579721,11.93353956214698,133.81558404238413,44.122746803474485,0,0,64.47628962693877,70.52522170484117,0,0,0,0,0,0,0,0,0,0,0,0
9,0.005351930677910451,0.007384935114663344,0.0016758622165414531,99.99999999978115,99.99999999997061,0.12305995416669663,2.230079703968054,0.5450481017427992,0.3866719050184048,10.857602350323273,7.012028210452722,44.54941664567836,8.217034725745203,9.693591918937958,229.67391562039717,21.150829941087157,0,0,16.32905957410343,100.56081923650751,0,0,0,0,0,0,0,0,0,0,0,0
10,0.008571687758059493,0.010024850976847619,0.001692731170740751,99.99999999950235,99.99999999993332,0.3040797850941321,2.4707053244214605,0.6192911455323207,0.35327662500630863,9.071715342864278,7.128022964245096,43.09573943488425,5.849541267359701,7.9921613493232115,79.13094393602753,28.53673584093147,0,0,5.688266589643503,48.75069542038733,0,0,0,0,0,0,0,0,0,0,0,0
11,0.00725200998210255,0.010349518525488781,0.002466770514221464,99.99999999895775,99.99999999986025,0.0454543542322944,2.0142160890068825,0.661164971312026,0.45000102019716326,12.070921697020344,11.192110797483009,40.445307907646104,5.871778250359683,8.762485383370596,96.7528305279215,5.731756543331617,0,0,39.753333472232306,79.8999717803659,0,0,0,0,0,0,0,0,0,0,0,0
12,0.00288612934831816,0.006307097346002408,0.00219198924703151,99.99999999795914,99.99999999972533,0.02580452713177045,2.642546356332196,0.30649719625813854,0.38171953683506427,6.690587579416592,4.741064002658937,34.36531014146535,5.318490149394087,6.5409330790323175,68.63548950406619,9.030277290933622,0,66.35346875348446,35.19059111373431,54.34367558681269,0,0,0,0,0,0,0,0,0,0,0,0
13,0.003787201681219403,0.007782774210770674,0.002606019975277232,99.9999999962133,99.9999999994909,0.044987558403776634,3.0792649037097144,0.31198445285582366,0.4206133646310814,7.585998917046376,1.1580524545481603,39.04341430502517,3.649712687398263,7.213792279193349,19.42943788668961,14.627204162006937,138.9389133830082,109.95420637441568,36.60925344132908,29.678489251819663,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0024983366593569947,0.004073901056213568,0.003369299980319393,99.99999999331378,99.99999999909802,0.2454238865668645,3.012856537874754,0.1578893230490487,0.494327922135822,8.1809391981019,0.11095224307602357,39.31019137661431,4.034734727001319,7.819628906721153,18.170477496795748,41.888193708447176,1.3322704214108467,160.30651048668796,69.50851268839592,31.35801780103452,0,0,0,0,0,0,0,0,0,0,0,0
