estimated_true_dist,best_x,min_error,empirical_min_dist,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
47.64142640327268,0.00022938175964355468,0.9999999999998874,49.998,0.53,0.48,0.45,50
99.80318705249992,0.09709214244079589,1.0028588952406086,99.972,0.53,0.48,0.45,100
149.71925483022588,0.1473545768585205,1.015460624887276,149.921,0.53,0.48,0.45,150
199.56075118028124,0.19752545857238765,1.0459536325328014,199.84400000000002,0.53,0.48,0.45,200
249.70915459473383,0.24934428895568847,1.1035953589422396,249.74699999999996,0.53,0.48,0.45,250
299.5018800283706,0.2989658544464111,1.1890793389520615,299.59899999999993,0.53,0.48,0.45,300
349.2595667235225,0.3483127618255615,1.308983548602014,349.3899999999999,0.53,0.48,0.45,350
399.1295982476647,0.39820898542785643,1.4714385311438187,399.07700000000017,0.53,0.48,0.45,400
448.9783576402943,0.44810520903015133,1.6845320508650392,448.56300000000005,0.53,0.48,0.45,450
498.63860091285613,0.4970859055938721,1.9528597380089066,497.666,0.53,0.48,0.45,500
548.3206845318218,0.5472567873077393,2.3004805344613994,545.8390000000002,0.53,0.48,0.45,550
598.2534378573264,0.5974276690216064,2.739801795346984,592.05,0.53,0.48,0.45,600
648.1289626255572,0.6474154453277587,3.290034724437097,635.0369999999999,0.53,0.48,0.45,650
697.2468318710968,0.6960299310760497,3.9542386454992062,673.8230000000002,0.53,0.48,0.45,700
746.8602659975802,0.7458346019744873,4.801406563877363,708.7039999999996,0.53,0.48,0.45,750
795.9538608594039,0.7944490877227782,5.822787070103825,739.8290000000001,0.53,0.48,0.45,800
844.8041660382225,0.8428804680633544,7.0717500345594635,767.5070000000002,0.53,0.48,0.45,850
893.3869436927602,0.890762532180786,8.587155065773297,792.0750000000007,0.53,0.48,0.45,900
941.8283174662694,0.9388277017059325,10.436610255469702,813.8460000000005,0.53,0.48,0.45,950
989.5970648351555,0.98579423878479,12.637508620075169,833.3140000000003,0.53,0.48,0.45,1000
1036.5567261859328,1.032211459640503,15.267407465473527,850.2039999999998,0.53,0.48,0.45,1050
1083.7234127095778,1.0788117859039308,18.443899048893112,865.4889999999999,0.53,0.48,0.45,1100
1130.2186853950657,1.1247712432403565,22.223907423157595,878.9720000000003,0.53,0.48,0.45,1150
1176.3579680781415,1.170272937057495,26.684964537413975,891.1239999999998,0.53,0.48,0.45,1200
1220.6848868548889,1.213668918685913,31.75332968645235,901.8730000000004,0.53,0.48,0.45,1250
1266.3922160095578,1.2588959543914795,38.026493446448065,911.5619999999998,0.53,0.48,0.45,1300
1311.1207147644598,1.3029328049468996,45.301548562248236,920.244,0.53,0.48,0.45,1350
1354.7167632543628,1.3459625757598874,53.66550632054754,927.853999999999,0.53,0.48,0.45,1400
1395.2403287639104,1.385330238418579,62.61065496048612,934.642999999999,0.53,0.48,0.45,1450
1436.1377189334967,1.42543032270813,73.26711231480175,940.6729999999995,0.53,0.48,0.45,1500
