empirical_min_dist,estimated_true_dist,best_x,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
100.0,101.32166394023142,0.099876812601497,0.03486911954692324,0,0.4,0.4,0.4,100
200.0,202.8463505621922,0.20040608877339647,0.027676093801832967,0,0.4,0.4,0.4,200
299.0,296.9119765475003,0.25137732173779453,0.015340770875685483,0,0.4,0.4,0.4,300
399.0,402.1750106689973,0.3710916045825513,0.029499306485613,0,0.4,0.4,0.4,400
498.0,510.2299846192991,0.5195726821196422,0.023238143621098443,0,0.4,0.4,0.4,500
585.0,618.6118748206931,0.639872053620702,0.023685551306164784,0,0.4,0.4,0.4,600
672.0,754.4202161037408,0.7906874436830142,0.028589022036446584,0,0.4,0.4,0.4,700
736.0,846.5373613056568,0.8750322806954933,0.012013207616659015,0,0.4,0.4,0.4,800
781.0,938.5691435588824,0.957844287057914,0.010673328977845257,0,0.4,0.4,0.4,900
815.0,1006.8594031471562,1.0166767003671988,0.008980131289199859,0,0.4,0.4,0.4,1000
851.0,1086.8310276359875,1.0842592454572875,0.0050995686617368976,0,0.4,0.4,0.4,1100
879.0,1193.2447815845755,1.1890494234491389,0.004841755150568785,0,0.4,0.4,0.4,1200
898.0,1286.5002302940914,1.2895045235406568,0.0030617623002063225,0,0.4,0.4,0.4,1300
912.0,1308.6917714861395,1.2943880787140472,0.000995114744555188,0,0.4,0.4,0.4,1400
926.0,1439.0447198351615,1.4343991559289129,0.0023891856862444387,0,0.4,0.4,0.4,1500
100.0,100.37055855384662,0.11257586218635257,0.022863607187334895,1,0.4,0.4,0.4,100
200.0,195.4707994817564,0.19692377423840038,0.03407683804772325,1,0.4,0.4,0.4,200
298.0,296.6604761085022,0.30038732647195293,0.02189659624383596,1,0.4,0.4,0.4,300
398.0,383.2876983970185,0.3765601503276027,0.036769635752753195,1,0.4,0.4,0.4,400
496.0,487.46876083564837,0.48458574574209806,0.019705380704603214,1,0.4,0.4,0.4,500
584.0,567.0054787939603,0.559533697191305,0.033524731884654574,1,0.4,0.4,0.4,600
658.0,667.6377748454139,0.6545314542665637,0.013206890493943052,1,0.4,0.4,0.4,700
721.0,746.5216540245715,0.7181834001500969,0.01878686575967065,1,0.4,0.4,0.4,800
768.0,849.8670021236643,0.8307752512227955,0.0065329747556366995,1,0.4,0.4,0.4,900
811.0,925.6524803531673,0.8990851576029233,0.00857176191931664,1,0.4,0.4,0.4,1000
852.0,1041.4169580444895,1.0119466115222244,0.0025843434674726194,1,0.4,0.4,0.4,1100
883.0,1136.8892842518849,1.0965762398741727,0.0039145534924687215,1,0.4,0.4,0.4,1200
906.0,1235.1001919829653,1.1985823145537524,0.003133047819433999,1,0.4,0.4,0.4,1300
920.0,1324.023428592836,1.2976470493566656,0.001994528804028328,1,0.4,0.4,0.4,1400
934.0,1411.236794518845,1.3856906530598248,0.0019457322630978037,1,0.4,0.4,0.4,1500
100.0,99.86021477923501,0.09634043794166325,0.011634959621805855,2,0.4,0.4,0.4,100
