empirical_min_dist,estimated_true_dist,best_x,empirical_true_dist
99.972,99.99563223348838,0.099,100
199.84400000000002,199.9584327786118,0.1995,200
299.59899999999993,299.97536025850405,0.3005,300
399.07700000000017,399.84503949744885,0.4,400
497.666,499.77782717180713,0.4995,500
592.05,599.1789770302842,0.599,600
673.8230000000002,698.5139923062076,0.698,700
739.8290000000001,799.1877629657364,0.7995,800
792.0750000000007,898.9355225692523,0.8989999999999999,900
833.3140000000003,998.2387654356963,0.998,1000
865.4889999999999,1095.3600955012555,1.0945,1100
891.1239999999998,1192.3463690788365,1.191,1200
911.5619999999998,1291.564738811604,1.2905,1300
927.853999999999,1384.722408721592,1.3825,1400
940.6729999999995,1478.6840681778167,1.476,1500
