empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_bb,best_alpha,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
399.07700000000017,399.5041430049772,0.395,0.91,-0.023734479818790066,0.94,0.53,0.48,0.45,400
497.666,499.202542260324,0.491,0.91,-0.019193617514729255,0.93,0.53,0.48,0.45,500
592.05,599.9234610023175,0.371,0.93,-0.0045671662415393,0.57,0.53,0.48,0.45,600
673.8230000000002,699.5810726439125,0.5770000000000001,0.94,-0.0036870464053024854,0.77,0.53,0.48,0.45,700
739.8290000000001,796.8407173660381,0.715,0.96,-0.004067982229885692,0.86,0.53,0.48,0.45,800
792.0750000000007,918.1546054544601,0.925,0.11,0.9864648252001367,0.04,0.53,0.48,0.45,900
833.3140000000003,985.2026727086736,0.733,1.0,-0.0014329539738975328,0.75,0.53,0.48,0.45,1000
865.4889999999999,1115.0530686921047,1.1219999999999999,0.94,0.15745229418489726,0.89,0.53,0.48,0.45,1100
891.1239999999998,1215.673799869242,1.222,1.0,0.12568032700825071,0.94,0.53,0.48,0.45,1200
911.5619999999998,1338.731683547718,1.3499999999999999,0.99,0.26835257710330973,0.87,0.53,0.48,0.45,1300
927.853999999999,1432.3961833340636,1.4409999999999998,1.0,0.24726182495326898,0.88,0.53,0.48,0.45,1400
940.6729999999995,1498.585480803433,1.5,0.3,0.7907185135663644,0.26,0.53,0.48,0.45,1500
