empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_ab,best_p_bb,best_alpha,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
100.0,101.27747178844716,0.10311608371810538,0.36000000000000004,0.24,0.3999999999999999,0.5020425344694216,0.03395751592062141,0,0.4,0.4,0.4,100
299.0,303.66957149610346,0.2554194173706526,0.09999999999999999,0.02,0.88,0.03236238389655928,0.010753400549569404,0,0.4,0.4,0.4,300
498.0,523.4946525889036,0.5283590295035565,0.5700000000000001,0.06,0.36999999999999994,0.4409386499533268,0.02257501232206369,0,0.4,0.4,0.4,500
672.0,792.4328257049323,0.8349622673445303,0.76,0.0,0.24,0.6217284789202542,0.02566436757484803,0,0.4,0.4,0.4,700
781.0,1026.7856157632732,1.0586082324567847,0.8200000000000001,0.0,0.17999999999999994,0.6819601621611356,0.008946738673702886,0,0.4,0.4,0.4,900
851.0,1174.7395374461996,1.1844261608248774,0.78,0.0,0.21999999999999997,0.6531981962634066,0.004209275125390479,0,0.4,0.4,0.4,1100
898.0,1372.8603757840606,1.3830202178022477,0.66,0.01,0.32999999999999996,0.7964875982000617,0.003042231949490541,0,0.4,0.4,0.4,1300
926.0,1417.757972565089,1.4126333685236936,0.04,0.0,0.96,0,0.0023930159909781377,0,0.4,0.4,0.4,1500
100.0,100.31217773938161,0.11614326600874911,0.34,0.25,0.4099999999999999,0.4458904141068081,0.022017960411236052,1,0.4,0.4,0.4,100
298.0,305.4752645839943,0.2966228585581251,0.62,0.05,0.33,0.8228644829107297,0.016044160464136953,1,0.4,0.4,0.4,300
496.0,502.0644944008778,0.40337525250976947,0.09999999999999999,0.31,0.5900000000000001,0.5719411251327168,0.008437552047437572,1,0.4,0.4,0.4,500
658.0,686.3941119850277,0.6076907922935553,0.06999999999999999,0.25,0.68,0.4276407508215556,0.005803925985689093,1,0.4,0.4,0.4,700
768.0,857.9375860381284,0.7967422946780871,0.04,0.23,0.73,0.3164933299654165,0.005139897035817616,1,0.4,0.4,0.4,900
852.0,1115.1849403863557,1.0721496983376289,0.49,0.25,0.26,0.4350228919428539,0.0022436226143774107,1,0.4,0.4,0.4,1100
906.0,1349.8761062810725,1.3171004655129808,0.31,0.02,0.6699999999999999,0.1718922196471485,0.0029687026464518436,1,0.4,0.4,0.4,1300
934.0,1367.4804288967853,1.3311710378104622,0.01,0.13,0.86,0.13246391802532237,0.0017663182476740412,1,0.4,0.4,0.4,1500
100.0,100.19624268985737,0.02929396155701684,0.16,0.08,0.76,0.8193291394252116,0.0063328160164122585,2,0.4,0.4,0.4,100
300.0,300.587878622708,0.27398389757809977,0.55,0.02,0.42999999999999994,0.3791266862595118,0.019491493661461242,2,0.4,0.4,0.4,300
498.0,497.0298296006369,0.4758503972097184,0.22,0.29,0.49000000000000005,0.4885054076963046,0.018585063738773906,2,0.4,0.4,0.4,500
662.0,685.3322253768637,0.6502981017553601,0.44,0.13,0.43000000000000005,0.38225421483118627,0.009667930228620385,2,0.4,0.4,0.4,700
770.0,882.0054976581722,0.7959759542071267,0.03,0.16,0.8099999999999999,0.3021719629759094,0.005269547983931995,2,0.4,0.4,0.4,900
846.0,1127.0489374844894,1.1276864100266173,0.64,0.0,0.36,0.5137240701740633,0.0035106336701768424,2,0.4,0.4,0.4,1100
890.0,1274.6608563696066,1.1232899535105212,0.01,0.21,0.78,0.35450558425535883,0.0017996303419557714,2,0.4,0.4,0.4,1300
