empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_bb,best_alpha,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
99.972,99.99018479137335,0.098,0.44,0.37,0.4821196014032918,0.53,0.48,0.45,100
199.84400000000002,199.91790915597383,0.195,0.13,0.09,0.4398238640210522,0.53,0.48,0.45,200
299.59899999999993,299.67851197714185,0.29,0.1,0.14,0.5797686623211479,0.53,0.48,0.45,300
399.07700000000017,399.4340460793533,0.395,0.04,0.05,0.5533027230833149,0.53,0.48,0.45,400
497.666,498.9794568493446,0.492,0.1,0.05,0.45971433632664566,0.53,0.48,0.45,500
592.05,598.5914879326007,0.594,0.12,0.06,0.47818284298716784,0.53,0.48,0.45,600
673.8230000000002,718.0991010284515,0.718,0.82,0.17,0.8935475084411854,0.53,0.48,0.45,700
739.8290000000001,795.6506037626971,0.78,0.16,0.04,0.47046358036429065,0.53,0.48,0.45,800
792.0750000000007,893.3274518092211,0.878,0.04,0.1,0.5540469145763128,0.53,0.48,0.45,900
833.3140000000003,987.3094321517127,0.963,0.03,0.11,0.5631822003660601,0.53,0.48,0.45,1000
865.4889999999999,1140.1302719943926,1.143,0.22,0.78,0.29258341585828335,0.53,0.48,0.45,1100
891.1239999999998,1246.1024486685537,1.2489999999999999,0.13,0.86,0.1946083450088104,0.53,0.48,0.45,1200
911.5619999999998,1349.0617945288097,1.353,0.93,0.07,0.8893939027112105,0.53,0.48,0.45,1300
927.853999999999,1483.5450581338898,1.4889999999999999,0.12,0.88,0.1798080772729579,0.53,0.48,0.45,1400
940.6729999999995,1418.968203488496,0.961,0.38,0.01,0.22297911337683773,0.53,0.48,0.45,1500
