n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,998.0,1.0,0.0,0.0,0.0,2.0
1000,2,998.0,996.0038,1.9924,0.0038,0.0,0.0,2.0038
1000,3,997.0,994.0118,2.9764,0.0118,0.0,0.0,2.0118
1000,4,996.0,992.0242,3.9522,0.023,0.0006,0.0,2.024
1000,5,995.0,990.0418,4.9176,0.0394,0.0012,0.0,2.041
1000,6,994.0,988.0608,5.8798,0.058,0.0014,0.0,2.0596
1000,7,993.0,986.0882,6.8252,0.085,0.0016,0.0,2.0856
1000,8,992.0,984.1132,7.7756,0.1092,0.002,0.0,2.1092
1000,9,991.0,982.1408,8.7216,0.1344,0.0032,0.0,2.1348
1000,10,990.0,980.1752,9.6538,0.1668,0.0042,0.0,2.164
1000,11,989.0,978.2144,10.5766,0.2036,0.0054,0.0,2.199
1000,12,988.0,976.2574,11.4924,0.243,0.0072,0.0,2.2358
1000,13,987.0,974.3054,12.3984,0.287,0.0092,0.0,2.275
1000,14,986.0,972.3564,13.2992,0.3326,0.0116,0.0002,2.315
1000,15,985.0,970.4124,14.1896,0.3838,0.014,0.0002,2.3566
1000,16,984.0,968.4646,15.087,0.4326,0.0154,0.0004,2.3954
1000,17,983.0,966.528,15.9626,0.4914,0.0174,0.0006,2.4414
1000,18,982.0,964.5958,16.8332,0.5474,0.0224,0.0012,2.485
1000,19,981.0,962.6736,17.6866,0.6078,0.0302,0.0018,2.5304
1000,20,980.0,960.7502,18.5392,0.6734,0.0348,0.0024,2.5734
1000,21,979.0,958.8294,19.3884,0.738,0.0414,0.0026,2.616
1000,22,978.0006,956.9108,20.2324,0.8088,0.0454,0.0028,2.657
1000,23,977.0006,954.9958,21.0704,0.8786,0.0518,0.0036,2.6974
1000,24,976.0008,953.089,21.8928,0.9554,0.0592,0.004,2.7368
1000,25,975.0008,951.1852,22.7092,1.035,0.066,0.005,2.7792
1000,26,974.001,949.2854,23.5202,1.1138,0.0756,0.0056,2.817
1000,27,973.001,947.3892,24.324,1.1956,0.0856,0.006,2.8552
1000,28,972.001,945.4988,25.1152,1.285,0.0948,0.0066,2.8906
1000,29,971.001,943.5994,25.923,1.3686,0.102,0.0072,2.9206
1000,30,970.001,941.7176,26.6992,1.4628,0.1128,0.0074,2.9538
1000,31,969.0012,939.836,27.4784,1.5532,0.122,0.0102,2.9876
1000,32,968.0012,937.9634,28.2364,1.657,0.131,0.0118,3.021
1000,33,967.0012,936.0992,28.9832,1.758,0.146,0.0126,3.0546
1000,34,966.0014,934.228,29.7398,1.8604,0.1572,0.0138,3.082
1000,35,965.0022,932.3658,30.4844,1.9646,0.1678,0.0174,3.114
1000,36,964.0022,930.5038,31.2258,2.0718,0.1778,0.0202,3.142
1000,37,963.003,928.6458,31.9666,2.17,0.1954,0.0222,3.1712
1000,38,962.003,926.785,32.7044,2.2794,0.2076,0.0226,3.1934
1000,39,961.003,924.9236,33.4502,2.374,0.2268,0.0242,3.2178
1000,40,960.003,923.0776,34.1648,2.486,0.2432,0.027,3.2444
1000,41,959.003,921.2332,34.877,2.6006,0.2562,0.0306,3.2684
1000,42,958.003,919.3808,35.6062,2.702,0.2756,0.033,3.293
1000,43,957.0036,917.5442,36.3074,2.8178,0.2918,0.0354,3.3178
1000,44,956.0036,915.7066,37.0074,2.9324,0.313,0.0372,3.3404
1000,45,955.0038,913.8758,37.6988,3.0486,0.332,0.0404,3.3676
1000,46,954.004,912.0424,38.3932,3.166,0.3502,0.0432,3.393
1000,47,953.004,910.2192,39.0714,3.2846,0.3718,0.0474,3.4166
1000,48,952.004,908.404,39.737,3.4054,0.395,0.0522,3.4432
1000,49,951.004,906.581,40.413,3.5288,0.4138,0.0556,3.4658
1000,50,950.0046,904.7728,41.0646,3.6572,0.4388,0.0588,3.4886
1000,51,949.0048,902.9668,41.7126,3.7892,0.458,0.0646,3.5136
1000,52,948.0048,901.1516,42.3776,3.913,0.4768,0.0718,3.537
1000,53,947.0048,899.3486,43.0252,4.0354,0.504,0.0752,3.5662
1000,54,946.005,897.561,43.6432,4.1716,0.531,0.08,3.5912
1000,55,945.0052,895.7596,44.2886,4.293,0.5602,0.0846,3.6172
1000,56,944.0056,893.966,44.9166,4.4264,0.5876,0.0884,3.6426
1000,57,943.0056,892.1734,45.5412,4.5632,0.6128,0.093,3.6672
1000,58,942.0062,890.3842,46.1628,4.6988,0.6388,0.098,3.692
1000,59,941.0064,888.6124,46.7614,4.8302,0.6706,0.1064,3.725
1000,60,940.0066,886.8402,47.3568,4.9688,0.699,0.1152,3.7518
1000,61,939.0068,885.0586,47.9664,5.1068,0.7254,0.1202,3.7782
1000,62,938.0076,883.2964,48.5436,5.2532,0.7562,0.1266,3.804
1000,63,937.0082,881.5244,49.1394,5.3926,0.7856,0.131,3.8322
1000,64,936.0088,879.7654,49.7178,5.5266,0.8244,0.1368,3.8622
1000,65,935.0088,878.0038,50.2986,5.6636,0.859,0.1424,3.8922
1000,66,934.009,876.2556,50.8546,5.8116,0.8922,0.151,3.9208
1000,67,933.0098,874.5098,51.4118,5.955,0.9246,0.162,3.9532
1000,68,932.0104,872.7654,51.9592,6.109,0.957,0.1716,3.9764
1000,69,931.0104,871.0196,52.5182,6.2466,0.9934,0.1808,4.0064
1000,70,930.0108,869.2766,53.0686,6.3904,1.032,0.1884,4.0352
1000,71,929.0108,867.54,53.6086,6.5344,1.0726,0.1986,4.0618
1000,72,928.0108,865.8108,54.1396,6.6788,1.113,0.2076,4.0908
1000,73,927.0118,864.0708,54.6902,6.819,1.1496,0.218,4.1204
1000,74,926.012,862.342,55.221,6.9626,1.1892,0.2304,4.1488
1000,75,925.0122,860.617,55.7458,7.1084,1.2292,0.2406,4.1788
1000,76,924.0128,858.8864,56.2818,7.2534,1.263,0.2534,4.2086
1000,77,923.0128,857.1696,56.7928,7.4018,1.3052,0.2656,4.2376
1000,78,922.0138,855.4618,57.291,7.5574,1.3434,0.2772,4.2672
1000,79,921.0142,853.7562,57.794,7.6958,1.3874,0.2932,4.295
1000,80,920.0142,852.0574,58.2818,7.8424,1.4326,0.3072,4.3252
1000,81,919.0154,850.363,58.7582,7.999,1.4806,0.3176,4.3512
1000,82,918.0156,848.662,59.2492,8.145,1.526,0.3322,4.3782
1000,83,917.0158,846.9742,59.7132,8.3052,1.5724,0.3452,4.4058
1000,84,916.0168,845.2834,60.1856,8.4666,1.6084,0.3616,4.4342
1000,85,915.0174,843.5956,60.6568,8.6204,1.653,0.3736,4.4668
1000,86,914.0176,841.9086,61.1192,8.786,1.6926,0.388,4.4936
1000,87,913.0176,840.2238,61.5884,8.934,1.7416,0.3974,4.5258
1000,88,912.0182,838.5592,62.0212,9.0964,1.7896,0.4124,4.5542
1000,89,911.0196,836.891,62.4668,9.2464,1.8404,0.4308,4.581
1000,90,910.0196,835.1996,62.9472,9.3904,1.8866,0.4462,4.607
1000,91,909.0198,833.5322,63.388,9.5408,1.945,0.4566,4.6356
1000,92,908.0204,831.8624,63.8418,9.6854,1.9942,0.4686,4.6684
1000,93,907.0204,830.2004,64.2732,9.8458,2.0388,0.487,4.698
1000,94,906.021,828.5424,64.699,10.0028,2.0906,0.5058,4.7234
1000,95,905.0218,826.884,65.1294,10.1554,2.1432,0.521,4.7492
1000,96,904.0226,825.2362,65.5454,10.3098,2.1952,0.5392,4.7798
1000,97,903.0232,823.5864,65.9646,10.4642,2.245,0.5576,4.808
1000,98,902.0246,821.9526,66.3692,10.6084,2.3014,0.577,4.8406
1000,99,901.0256,820.3142,66.7686,10.7754,2.345,0.5942,4.8716
1000,100,900.026,818.6784,67.1658,10.9324,2.4004,0.6112,4.8998
1000,101,899.026,817.0478,67.5616,11.079,2.4574,0.6328,4.9288
1000,102,898.0276,815.4278,67.942,11.2348,2.5126,0.6508,4.9634
1000,103,897.0278,813.811,68.3128,11.3948,2.5666,0.6704,4.9952
1000,104,896.0286,812.1892,68.7016,11.54,2.6206,0.6922,5.028
1000,105,895.0292,810.5734,69.076,11.6972,2.6702,0.7144,5.059
1000,106,894.0292,808.947,69.4676,11.8444,2.7264,0.7318,5.0884
1000,107,893.0298,807.327,69.8472,12.0016,2.777,0.7504,5.1194
1000,108,892.0304,805.7104,70.2268,12.1528,2.829,0.7702,5.1526
1000,109,891.0308,804.1112,70.5696,12.3226,2.8824,0.7902,5.1838
1000,110,890.0318,802.5148,70.9242,12.4712,2.9344,0.8174,5.2168
1000,111,889.0326,800.9216,71.2702,12.6236,2.9944,0.8392,5.2494
1000,112,888.0326,799.323,71.6204,12.7794,3.0488,0.8638,5.2774
1000,113,887.0332,797.7198,71.9776,12.9374,3.1024,0.8862,5.3082
1000,114,886.0336,796.1282,72.326,13.0834,3.161,0.9084,5.3392
1000,115,885.034,794.5356,72.6738,13.234,3.2176,0.9312,5.3694
1000,116,884.034,792.9542,72.9992,13.3914,3.2778,0.954,5.399
1000,117,883.0348,791.3678,73.3358,13.5472,3.3334,0.9784,5.4288
1000,118,882.0356,789.7914,73.6598,13.6968,3.398,1.0032,5.4568
1000,119,881.0358,788.217,73.9766,13.8548,3.4584,1.0284,5.485
1000,120,880.0368,786.6464,74.297,14.0104,3.5064,1.0552,5.518
1000,121,879.0372,785.063,74.642,14.1504,3.5624,1.0796,5.555
1000,122,878.0388,783.5,74.957,14.2952,3.6222,1.1044,5.59
1000,123,877.0388,781.9226,75.2854,14.4462,3.6776,1.1286,5.623
1000,124,876.0394,780.373,75.572,14.602,3.741,1.1556,5.6562
1000,125,875.0404,778.8182,75.8802,14.7384,3.8032,1.1844,5.6886
