n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,0,1000.0,900.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,899.414,98.586,0.194,0.198,0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,898.835,97.186,0.383,0.39,1.185,0.0,0.002,0.005,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.021
1000,3,997.0,898.236,95.816,0.577,0.589,1.731,0.001,0.002,0.014,0.033,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.052
1000,4,996.0,897.632,94.48,0.773,0.777,2.23,0.003,0.003,0.029,0.069,0.0,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,2.112
1000,5,995.0,897.037,93.151,0.977,0.943,2.711,0.003,0.006,0.044,0.121,0.0,0.0,0.0,0.001,0.006,0.0,0.0,0.0,0.0,0.0,0.0,2.185
1000,6,994.004,896.468,91.809,1.168,1.093,3.213,0.005,0.013,0.06,0.16,0.0,0.0,0.0,0.002,0.012,0.0,0.0,0.0,0.0,0.0,0.001,2.257
1000,7,993.006,895.864,90.558,1.356,1.271,3.584,0.006,0.015,0.091,0.228,0.0,0.0,0.002,0.007,0.02,0.0,0.0,0.0,0.001,0.001,0.002,2.378
1000,8,992.006,895.318,89.249,1.527,1.433,3.983,0.006,0.016,0.116,0.306,0.0,0.002,0.003,0.013,0.028,0.0,0.0,0.0,0.001,0.0,0.004,2.493
1000,9,991.006,894.725,88.015,1.718,1.597,4.315,0.007,0.017,0.149,0.383,0.0,0.002,0.004,0.018,0.046,0.0,0.0,0.0,0.002,0.0,0.006,2.615
1000,10,990.006,894.129,86.776,1.909,1.764,4.658,0.007,0.022,0.176,0.458,0.0,0.002,0.006,0.024,0.061,0.0,0.0,0.0,0.002,0.0,0.01,2.722
1000,11,989.009,893.515,85.592,2.11,1.905,4.964,0.008,0.029,0.212,0.536,0.0,0.002,0.009,0.032,0.073,0.0,0.0,0.0,0.001,0.004,0.012,2.842
1000,12,988.011,892.935,84.373,2.295,2.048,5.283,0.011,0.034,0.245,0.617,0.0,0.002,0.01,0.039,0.088,0.0,0.0,0.0,0.001,0.01,0.013,2.936
1000,13,987.011,892.379,83.153,2.473,2.168,5.587,0.011,0.045,0.289,0.706,0.0,0.002,0.012,0.041,0.097,0.0,0.0,0.0,0.002,0.014,0.022,3.046
1000,14,986.012,891.749,82.0,2.675,2.319,5.86,0.014,0.047,0.324,0.78,0.0,0.003,0.014,0.056,0.114,0.0,0.0,0.0,0.002,0.014,0.027,3.137
1000,15,985.016,891.124,80.898,2.869,2.461,6.074,0.017,0.057,0.357,0.855,0.0,0.003,0.016,0.075,0.137,0.0,0.0,0.0,0.002,0.021,0.031,3.248
1000,16,984.016,890.54,79.773,3.073,2.559,6.299,0.018,0.065,0.385,0.933,0.0,0.003,0.018,0.089,0.163,0.0,0.0,0.0,0.002,0.028,0.037,3.376
1000,17,983.019,889.952,78.65,3.274,2.666,6.509,0.019,0.067,0.426,1.021,0.0,0.003,0.019,0.108,0.189,0.0,0.0,0.0,0.004,0.033,0.043,3.475
1000,18,982.023,889.389,77.529,3.447,2.792,6.7,0.022,0.072,0.464,1.107,0.0,0.003,0.019,0.125,0.214,0.0,0.0,0.0,0.005,0.036,0.049,3.579
1000,19,981.027,888.796,76.44,3.64,2.908,6.881,0.023,0.079,0.502,1.184,0.0,0.003,0.021,0.141,0.238,0.0,0.0,0.0,0.006,0.041,0.065,3.687
1000,20,980.033,888.244,75.361,3.816,3.018,7.014,0.024,0.084,0.543,1.277,0.0,0.003,0.024,0.154,0.269,0.0,0.0,0.001,0.007,0.046,0.07,3.799
1000,21,979.033,887.646,74.311,4.019,3.127,7.136,0.025,0.089,0.578,1.358,0.0,0.002,0.026,0.173,0.314,0.0,0.0,0.003,0.007,0.048,0.083,3.905
1000,22,978.042,887.039,73.281,4.217,3.23,7.271,0.027,0.094,0.624,1.442,0.0,0.004,0.029,0.186,0.338,0.0,0.0,0.003,0.009,0.055,0.092,4.01
