n,k,all-cycles,A-cycles,B-cycles,AA-cycles,AB-cycles,BB-cycles,AAA-cycles,AAB-cycles,ABB-cycles,BBB-cycles,AAAA-cycles,AAAB-cycles,AABB-cycles,ABBB-cycles,BBBB-cycles,AAAAA-cycles,AAAAB-cycles,AAABB-cycles,AABBB-cycles,ABBBB-cycles,BBBBB-cycles,max_cycle_len
1000,0,1000.0,700.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,698.928,299.072,0.416,0.24,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,697.829,298.175,0.845,0.475,0.672,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.004
1000,3,997.0,696.791,297.22,1.235,0.723,1.02,0.004,0.001,0.002,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.011
1000,4,996.0,695.712,296.307,1.656,0.95,1.356,0.005,0.004,0.003,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019
1000,5,995.0,694.659,295.368,2.046,1.212,1.688,0.005,0.009,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027
1000,6,994.0,693.626,294.424,2.427,1.456,2.017,0.01,0.012,0.01,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05
1000,7,993.0,692.582,293.494,2.804,1.709,2.336,0.019,0.013,0.018,0.024,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.076
1000,8,992.0,691.541,292.566,3.178,1.962,2.647,0.025,0.021,0.024,0.035,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.105
1000,9,991.0,690.511,291.635,3.545,2.217,2.949,0.029,0.028,0.034,0.049,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.142
1000,10,990.0,689.434,290.749,3.956,2.434,3.247,0.032,0.038,0.043,0.064,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.178
1000,11,989.0,688.432,289.792,4.317,2.665,3.574,0.042,0.042,0.053,0.079,0.001,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.21
1000,12,988.0,687.426,288.844,4.675,2.898,3.892,0.051,0.05,0.066,0.093,0.001,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.248
1000,13,987.0,686.377,287.936,5.061,3.131,4.188,0.057,0.055,0.081,0.108,0.001,0.0,0.0,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.282
1000,14,986.0,685.339,287.023,5.43,3.369,4.485,0.068,0.065,0.089,0.124,0.001,0.0,0.0,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,2.318
1000,15,985.0,684.331,286.115,5.784,3.569,4.768,0.085,0.078,0.107,0.15,0.001,0.0,0.001,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,2.381
1000,16,984.0,683.327,285.175,6.14,3.795,5.079,0.093,0.085,0.125,0.163,0.002,0.001,0.002,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0,2.416
1000,17,983.0,682.295,284.278,6.508,3.996,5.373,0.11,0.099,0.137,0.181,0.002,0.001,0.003,0.011,0.006,0.0,0.0,0.0,0.0,0.0,0.0,2.463
1000,18,982.0,681.283,283.36,6.867,4.199,5.674,0.124,0.11,0.159,0.198,0.003,0.001,0.003,0.012,0.007,0.0,0.0,0.0,0.0,0.0,0.0,2.503
1000,19,981.0,680.265,282.487,7.205,4.408,5.924,0.146,0.125,0.175,0.225,0.005,0.002,0.005,0.016,0.011,0.0,0.0,0.0,0.001,0.0,0.0,2.571
1000,20,980.0,679.283,281.549,7.541,4.598,6.244,0.168,0.139,0.191,0.242,0.006,0.002,0.007,0.016,0.012,0.0,0.0,0.0,0.002,0.0,0.0,2.611
1000,21,979.0,678.267,280.663,7.892,4.805,6.498,0.185,0.149,0.213,0.276,0.007,0.003,0.007,0.018,0.014,0.001,0.0,0.0,0.002,0.0,0.0,2.664
1000,22,978.0,677.222,279.812,8.247,5.001,6.747,0.208,0.166,0.238,0.299,0.007,0.004,0.009,0.022,0.015,0.001,0.0,0.0,0.002,0.0,0.0,2.72
1000,23,977.0,676.235,278.889,8.583,5.207,7.032,0.226,0.17,0.264,0.327,0.009,0.008,0.009,0.023,0.015,0.001,0.0,0.0,0.002,0.0,0.0,2.759
1000,24,976.0,675.237,277.987,8.917,5.429,7.286,0.239,0.185,0.293,0.351,0.01,0.008,0.009,0.025,0.02,0.001,0.001,0.0,0.002,0.0,0.0,2.802
1000,25,975.0,674.196,277.127,9.289,5.621,7.534,0.251,0.2,0.314,0.384,0.013,0.009,0.009,0.028,0.019,0.001,0.001,0.0,0.002,0.0,0.002,2.833
1000,26,974.0,673.182,276.238,9.637,5.829,7.79,0.271,0.212,0.331,0.42,0.014,0.01,0.009,0.03,0.021,0.001,0.001,0.0,0.002,0.0,0.002,2.864
1000,27,973.0,672.123,275.405,10.009,6.022,8.019,0.288,0.229,0.358,0.45,0.015,0.009,0.009,0.032,0.023,0.001,0.002,0.0,0.003,0.001,0.002,2.903
1000,28,972.0,671.083,274.567,10.364,6.22,8.235,0.31,0.246,0.375,0.49,0.017,0.009,0.01,0.037,0.028,0.001,0.002,0.0,0.003,0.001,0.002,2.936
1000,29,971.0,670.081,273.676,10.706,6.426,8.487,0.33,0.257,0.393,0.521,0.018,0.009,0.012,0.041,0.033,0.001,0.002,0.0,0.003,0.001,0.003,2.968
1000,30,970.0,669.051,272.834,11.052,6.603,8.718,0.358,0.272,0.43,0.55,0.018,0.011,0.013,0.042,0.037,0.001,0.002,0.0,0.003,0.002,0.003,2.998
1000,31,969.0,668.028,271.99,11.393,6.771,8.959,0.384,0.294,0.457,0.577,0.02,0.012,0.016,0.048,0.039,0.001,0.002,0.0,0.003,0.003,0.003,3.035
1000,32,968.0,667.07,271.073,11.703,6.977,9.214,0.398,0.305,0.486,0.607,0.026,0.013,0.018,0.053,0.044,0.001,0.002,0.001,0.003,0.003,0.003,3.067
1000,33,967.002,666.004,270.289,12.065,7.145,9.41,0.427,0.32,0.521,0.639,0.029,0.014,0.019,0.053,0.049,0.001,0.002,0.002,0.003,0.005,0.005,3.098
1000,34,966.002,665.02,269.398,12.399,7.322,9.661,0.449,0.332,0.556,0.675,0.03,0.015,0.02,0.054,0.05,0.001,0.002,0.002,0.005,0.005,0.005,3.123
1000,35,965.002,664.002,268.558,12.727,7.512,9.886,0.476,0.349,0.571,0.707,0.033,0.018,0.024,0.061,0.054,0.001,0.002,0.003,0.006,0.006,0.005,3.152
1000,36,964.002,663.03,267.678,13.036,7.707,10.102,0.503,0.364,0.599,0.756,0.034,0.019,0.026,0.064,0.057,0.001,0.002,0.004,0.007,0.007,0.005,3.181
1000,37,963.004,662.035,266.833,13.364,7.882,10.31,0.52,0.393,0.632,0.787,0.035,0.022,0.029,0.066,0.065,0.001,0.002,0.004,0.007,0.008,0.008,3.207
1000,38,962.006,661.078,265.945,13.681,8.04,10.558,0.544,0.421,0.648,0.821,0.036,0.022,0.032,0.074,0.071,0.001,0.002,0.004,0.007,0.011,0.009,3.238
1000,39,961.006,660.032,265.157,14.023,8.215,10.747,0.57,0.446,0.672,0.845,0.038,0.023,0.04,0.079,0.078,0.001,0.002,0.003,0.007,0.012,0.013,3.279
1000,40,960.006,659.094,264.286,14.311,8.378,10.944,0.595,0.47,0.717,0.885,0.04,0.026,0.042,0.087,0.087,0.001,0.002,0.003,0.007,0.014,0.014,3.306
1000,41,959.006,658.081,263.465,14.637,8.556,11.14,0.627,0.482,0.741,0.922,0.042,0.03,0.048,0.093,0.095,0.001,0.002,0.003,0.007,0.015,0.016,3.339
1000,42,958.006,657.072,262.658,14.941,8.721,11.345,0.663,0.506,0.774,0.941,0.047,0.032,0.049,0.098,0.102,0.002,0.002,0.004,0.009,0.016,0.019,3.376
1000,43,957.006,656.053,261.853,15.266,8.884,11.532,0.683,0.545,0.81,0.973,0.05,0.034,0.053,0.099,0.11,0.002,0.002,0.005,0.01,0.016,0.02,3.402
1000,44,956.008,655.03,261.055,15.592,9.054,11.717,0.716,0.565,0.845,1.003,0.05,0.035,0.057,0.102,0.118,0.002,0.003,0.006,0.011,0.018,0.022,3.428
1000,45,955.008,654.033,260.244,15.895,9.224,11.899,0.743,0.589,0.878,1.039,0.054,0.039,0.061,0.108,0.128,0.004,0.003,0.007,0.013,0.018,0.022,3.461
1000,46,954.008,653.049,259.438,16.19,9.372,12.078,0.779,0.61,0.909,1.083,0.059,0.042,0.068,0.115,0.136,0.006,0.003,0.007,0.014,0.021,0.022,3.493
1000,47,953.009,652.098,258.595,16.471,9.538,12.264,0.816,0.632,0.94,1.119,0.06,0.043,0.076,0.123,0.15,0.006,0.003,0.007,0.017,0.021,0.023,3.522
1000,48,952.009,651.101,257.777,16.788,9.711,12.447,0.835,0.659,0.97,1.15,0.061,0.047,0.08,0.134,0.159,0.007,0.003,0.008,0.019,0.022,0.022,3.555
1000,49,951.011,650.157,256.931,17.072,9.877,12.636,0.855,0.687,0.998,1.186,0.061,0.055,0.088,0.143,0.166,0.007,0.003,0.01,0.019,0.026,0.022,3.593
1000,50,950.011,649.208,256.084,17.366,10.031,12.817,0.883,0.711,1.033,1.239,0.062,0.055,0.095,0.15,0.168,0.007,0.004,0.01,0.023,0.029,0.024,3.617
1000,51,949.011,648.231,255.264,17.676,10.192,12.979,0.908,0.733,1.065,1.298,0.064,0.057,0.102,0.155,0.171,0.008,0.004,0.01,0.021,0.029,0.026,3.651
1000,52,948.011,647.273,254.457,17.955,10.343,13.129,0.945,0.756,1.103,1.346,0.067,0.062,0.105,0.164,0.181,0.008,0.004,0.011,0.023,0.03,0.029,3.678
1000,53,947.011,646.339,253.622,18.218,10.482,13.311,0.98,0.787,1.145,1.389,0.071,0.067,0.11,0.167,0.189,0.008,0.004,0.012,0.024,0.033,0.03,3.706
1000,54,946.013,645.393,252.811,18.489,10.623,13.479,1.006,0.829,1.177,1.423,0.075,0.072,0.119,0.174,0.197,0.008,0.004,0.013,0.024,0.038,0.033,3.741
1000,55,945.013,644.414,252.031,18.787,10.773,13.609,1.028,0.852,1.221,1.472,0.081,0.073,0.127,0.186,0.201,0.01,0.004,0.014,0.024,0.04,0.036,3.784
1000,56,944.016,643.419,251.265,19.071,10.933,13.75,1.068,0.879,1.256,1.512,0.084,0.077,0.131,0.193,0.206,0.011,0.004,0.016,0.025,0.044,0.039,3.82
1000,57,943.016,642.456,250.46,19.344,11.078,13.922,1.106,0.909,1.288,1.554,0.085,0.083,0.134,0.2,0.21,0.012,0.005,0.018,0.03,0.046,0.041,3.849
1000,58,942.016,641.495,249.678,19.625,11.214,14.067,1.146,0.93,1.329,1.581,0.088,0.084,0.142,0.212,0.221,0.012,0.007,0.019,0.032,0.047,0.049,3.89
