n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,499.0023,498.9977,0.4494,0.0989,0.4517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,498.0116,497.9917,0.8904,0.2029,0.9001,0.0013,0.0002,0.0004,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0033
1000,3,997.0,497.0103,497.0012,1.3338,0.3041,1.3391,0.0046,0.0012,0.0018,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0115
1000,4,996.0,496.0215,496.0014,1.7718,0.398,1.7845,0.0093,0.0028,0.003,0.0076,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0229
1000,5,995.0,495.024,495.0142,2.2098,0.4963,2.218,0.015,0.0045,0.0043,0.0134,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.038
1000,6,994.0,494.0189,494.0391,2.6467,0.596,2.642,0.0239,0.0061,0.006,0.0206,0.0003,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,2.0573
1000,7,993.0,493.0389,493.041,3.0702,0.6955,3.0758,0.0329,0.0078,0.008,0.0286,0.0005,0.0003,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,2.0787
1000,8,992.0,492.0421,492.0651,3.503,0.7903,3.4944,0.0425,0.0097,0.0105,0.0403,0.0008,0.0003,0.0,0.0001,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,2.1041
1000,9,991.0,491.0444,491.092,3.9365,0.8815,3.9117,0.0526,0.0127,0.0126,0.0535,0.001,0.0004,0.0,0.0001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.1309
1000,10,990.0001,490.0686,490.1024,4.3521,0.9741,4.3355,0.0669,0.0156,0.0152,0.0663,0.001,0.0006,0.0,0.0002,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,2.1618
1000,11,989.0001,489.0863,489.1216,4.7682,1.0684,4.7526,0.081,0.0193,0.0185,0.0795,0.0014,0.0008,0.0002,0.0004,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,2.1944
1000,12,988.0001,488.1089,488.1446,5.1778,1.1576,5.164,0.0992,0.0233,0.0232,0.0954,0.0016,0.001,0.0002,0.0007,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,2.2336
1000,13,987.0001,487.1473,487.1523,5.5838,1.2451,5.5805,0.1149,0.0264,0.0283,0.1132,0.0022,0.0014,0.0002,0.0008,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,2.2701
1000,14,986.0001,486.1866,486.168,5.9787,1.3332,5.9898,0.1349,0.0326,0.033,0.1328,0.0034,0.0017,0.0002,0.0008,0.0043,0.0,0.0,0.0,0.0,0.0,0.0001,2.313
1000,15,985.0001,485.2144,485.1953,6.3833,1.4183,6.3928,0.1547,0.0378,0.0376,0.1525,0.0038,0.0019,0.0007,0.0011,0.0058,0.0,0.0,0.0,0.0,0.0,0.0001,2.3541
1000,16,984.0001,484.2287,484.2379,6.7854,1.5121,6.7859,0.1764,0.0435,0.043,0.171,0.0049,0.0022,0.0009,0.0012,0.0069,0.0,0.0,0.0,0.0,0.0,0.0001,2.3941
1000,17,983.0001,483.2601,483.2693,7.1789,1.6039,7.1798,0.1985,0.0474,0.0481,0.1936,0.0068,0.0025,0.0014,0.0015,0.0078,0.0001,0.0,0.0001,0.0,0.0,0.0002,2.4362
1000,18,982.0001,482.272,482.3234,7.5858,1.6893,7.56,0.2203,0.0527,0.0541,0.2177,0.0079,0.0028,0.0017,0.0018,0.0099,0.0001,0.0001,0.0002,0.0,0.0,0.0002,2.4785
1000,19,981.0001,481.3143,481.3533,7.973,1.7745,7.9483,0.2435,0.0587,0.0608,0.2442,0.0095,0.0031,0.002,0.0022,0.0116,0.0004,0.0001,0.0002,0.0,0.0,0.0003,2.5239
1000,20,980.0003,480.3574,480.3864,8.3548,1.8624,8.3319,0.2691,0.0652,0.0676,0.2716,0.0111,0.0031,0.002,0.0024,0.0135,0.0006,0.0003,0.0002,0.0001,0.0002,0.0003,2.568
1000,21,979.0007,479.4031,479.418,8.7342,1.9463,8.7208,0.2964,0.0716,0.073,0.2985,0.0132,0.0036,0.0025,0.0024,0.0147,0.0006,0.0003,0.0002,0.0002,0.0002,0.0007,2.6093
1000,22,978.0012,478.4588,478.4459,9.1072,2.0269,9.1074,0.3252,0.0783,0.0802,0.3269,0.0148,0.0043,0.0031,0.0027,0.0168,0.0007,0.0003,0.0002,0.0003,0.0002,0.0008,2.6507
1000,23,977.0014,477.4894,477.5034,9.4835,2.1152,9.474,0.3563,0.0855,0.0876,0.3558,0.0166,0.0049,0.0038,0.0032,0.019,0.0012,0.0003,0.0002,0.0003,0.0002,0.0008,2.6915
1000,24,976.0014,476.5421,476.5422,9.853,2.1982,9.8477,0.3875,0.0911,0.0947,0.3856,0.0187,0.0054,0.0043,0.0045,0.0227,0.0014,0.0003,0.0002,0.0002,0.0003,0.001,2.7336
1000,25,975.0017,475.5901,475.5841,10.2235,2.2816,10.2226,0.4181,0.0978,0.1022,0.4154,0.0208,0.0062,0.005,0.0052,0.0248,0.0016,0.0005,0.0002,0.0003,0.0003,0.0011,2.7706
1000,26,974.0019,474.6398,474.6302,10.5859,2.3666,10.5917,0.4529,0.1044,0.1096,0.4479,0.0233,0.0073,0.0051,0.0058,0.0263,0.0018,0.0005,0.0002,0.0004,0.0005,0.0013,2.8063
1000,27,973.0021,473.7026,473.6663,10.9435,2.4502,10.9621,0.4855,0.1128,0.1176,0.4809,0.0257,0.0075,0.006,0.0064,0.0288,0.0023,0.0006,0.0003,0.0004,0.0005,0.0017,2.8414
1000,28,972.0023,472.7546,472.7189,11.3035,2.5322,11.3211,0.5197,0.121,0.1247,0.517,0.0292,0.0083,0.0067,0.0073,0.0313,0.0024,0.0007,0.0003,0.0005,0.0006,0.0019,2.8774
1000,29,971.0027,471.8217,471.7577,11.6547,2.616,11.6863,0.5536,0.1299,0.1324,0.5509,0.032,0.0093,0.0077,0.0078,0.0351,0.0028,0.0007,0.0003,0.0007,0.0006,0.002,2.9109
1000,30,970.0028,470.8891,470.8099,11.9996,2.6961,12.0368,0.5922,0.1379,0.14,0.5886,0.0357,0.01,0.0094,0.0089,0.0398,0.0028,0.0009,0.0005,0.0009,0.0007,0.0024,2.9475
1000,31,969.0033,469.9488,469.8677,12.348,2.7749,12.3903,0.6295,0.1458,0.1495,0.6238,0.0399,0.0113,0.0105,0.0096,0.0434,0.0031,0.0011,0.0005,0.0011,0.0008,0.0028,2.979
1000,32,968.0033,468.9998,468.9369,12.7042,2.8492,12.734,0.6646,0.1548,0.1595,0.6617,0.0445,0.013,0.0114,0.0109,0.0476,0.0034,0.0012,0.0005,0.0012,0.0008,0.0031,3.0099
1000,33,967.0033,468.0702,467.9949,13.0408,2.9256,13.0802,0.7065,0.1637,0.1676,0.7014,0.0486,0.0145,0.0123,0.0122,0.0519,0.004,0.0012,0.0006,0.0013,0.0007,0.0037,3.0423
1000,34,966.0033,467.1363,467.0552,13.3812,3.0063,13.42,0.7471,0.1725,0.1757,0.7443,0.0527,0.0154,0.0139,0.0131,0.0555,0.004,0.0013,0.0006,0.0015,0.001,0.0041,3.0706
1000,35,965.0033,466.2178,466.1079,13.7088,3.0858,13.762,0.7893,0.1816,0.1846,0.7852,0.0574,0.0165,0.015,0.0148,0.0606,0.0046,0.0013,0.0007,0.0017,0.0014,0.0047,3.0997
1000,36,964.0035,465.2857,465.1719,14.048,3.1591,14.1034,0.8293,0.192,0.1938,0.8248,0.0626,0.0176,0.016,0.0162,0.0656,0.0047,0.0013,0.001,0.0017,0.0016,0.0052,3.127
1000,37,963.0036,464.3547,464.2411,14.3816,3.2318,14.438,0.8739,0.2016,0.2031,0.8671,0.0673,0.0184,0.0172,0.0171,0.0718,0.0051,0.0015,0.0012,0.0018,0.0016,0.0054,3.152
1000,38,962.004,463.4111,463.3258,14.7218,3.3059,14.7652,0.9128,0.2108,0.2136,0.908,0.0731,0.0206,0.0189,0.0181,0.0759,0.0059,0.0021,0.0014,0.002,0.0017,0.0065,3.1803
1000,39,961.004,462.4761,462.4055,15.0571,3.3768,15.0905,0.9557,0.2215,0.2235,0.9506,0.0787,0.0217,0.0194,0.019,0.0825,0.0063,0.0025,0.0017,0.0023,0.0019,0.0077,3.2068
1000,40,960.0041,461.5411,461.4903,15.386,3.4478,15.4113,1.0005,0.2332,0.2346,0.9945,0.0849,0.0231,0.0207,0.0206,0.0884,0.0067,0.0027,0.0018,0.0024,0.0021,0.0082,3.2307
1000,41,959.0043,460.6007,460.5809,15.7159,3.5219,15.7293,1.0466,0.2436,0.2438,1.0387,0.09,0.0248,0.0218,0.0223,0.0936,0.0078,0.0029,0.0021,0.0027,0.002,0.0093,3.253
1000,42,958.0044,459.6929,459.6457,16.0268,3.594,16.0555,1.095,0.2546,0.2536,1.0842,0.0956,0.0264,0.0223,0.0235,0.1006,0.0087,0.0029,0.0023,0.0031,0.0025,0.0102,3.2765
1000,43,957.0046,458.7529,458.7424,16.3542,3.6704,16.3641,1.1415,0.2636,0.2638,1.1281,0.1021,0.0283,0.0235,0.0251,0.1078,0.0093,0.003,0.0025,0.0033,0.0029,0.0112,3.3013
1000,44,956.0047,457.8346,457.8259,16.6679,3.7396,16.675,1.1894,0.2746,0.2751,1.179,0.1081,0.0299,0.025,0.0268,0.1138,0.0108,0.0031,0.0025,0.0035,0.003,0.0118,3.323
1000,45,955.005,456.9151,456.9124,16.9763,3.8115,16.986,1.2412,0.2857,0.2874,1.2258,0.1146,0.0311,0.0263,0.0286,0.1192,0.0114,0.0032,0.0029,0.004,0.0031,0.0133,3.3448
1000,46,954.0053,456.0036,455.9953,17.2844,3.881,17.2949,1.2898,0.2963,0.2978,1.276,0.1211,0.0334,0.0273,0.0306,0.1252,0.0128,0.0033,0.0032,0.0044,0.0037,0.0146,3.3689
1000,47,953.0054,455.0866,455.0887,17.5878,3.9487,17.5995,1.3407,0.3081,0.3094,1.3248,0.1301,0.0358,0.0285,0.0326,0.1327,0.0136,0.0035,0.0034,0.0044,0.0038,0.0157,3.3934
