gamma,error
0.1,0.006394828296653811
0.2,0.004557908109680387
0.30000000000000004,0.027354163071759436
0.4,0.08059657862667603
0.5,0.19543115014107412
0.6,0.38108212560092614
0.7,0.531889101933692
0.7999999999999999,0.908711744578865
0.8999999999999999,0.9482852962723547
0.9999999999999999,1.1754476347345675
1.0999999999999999,1.5497840355850783
1.2,1.7285066453778035
1.3,2.0447639080846773
1.4000000000000001,2.5754552798922927
1.5000000000000002,3.0051503073004127
1.6000000000000003,3.4505696999782303
1.7000000000000004,3.990546828212406
1.8000000000000005,4.61858760038631
1.9000000000000006,5.429791943566029
2.0000000000000004,6.271677846119157
