n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,998.0,1.0,0.0,0.0,0.0,2.0
1000,2,998.0,996.0,2.0,0.0,0.0,0.0,2.0
1000,3,997.0,994.0,3.0,0.0,0.0,0.0,2.0
1000,4,996.0,992.03,3.94,0.03,0.0,0.0,2.03
1000,5,995.0,990.05,4.9,0.05,0.0,0.0,2.05
1000,6,994.0,988.05,5.9,0.05,0.0,0.0,2.05
1000,7,993.0,986.07,6.86,0.07,0.0,0.0,2.07
1000,8,992.0,984.07,7.86,0.07,0.0,0.0,2.07
1000,9,991.0,982.13,8.74,0.13,0.0,0.0,2.13
1000,10,990.0,980.14,9.72,0.14,0.0,0.0,2.14
1000,11,989.0,978.18,10.64,0.18,0.0,0.0,2.16
1000,12,988.0,976.25,11.5,0.25,0.0,0.0,2.23
1000,13,987.0,974.36,12.28,0.36,0.0,0.0,2.32
1000,14,986.0,972.42,13.16,0.42,0.0,0.0,2.38
1000,15,985.0,970.48,14.05,0.46,0.01,0.0,2.44
1000,16,984.0,968.5,15.02,0.46,0.02,0.0,2.46
1000,17,983.0,966.56,15.9,0.52,0.02,0.0,2.48
1000,18,982.0,964.67,16.69,0.61,0.03,0.0,2.54
1000,19,981.0,962.73,17.57,0.67,0.03,0.0,2.57
1000,20,980.0,960.81,18.41,0.75,0.03,0.0,2.62
1000,21,979.0,958.9,19.23,0.84,0.03,0.0,2.67
1000,22,978.0,957.03,19.99,0.93,0.05,0.0,2.76
1000,23,977.0,955.17,20.71,1.07,0.05,0.0,2.8
1000,24,976.0,953.26,21.54,1.14,0.06,0.0,2.82
1000,25,975.0,951.33,22.41,1.19,0.07,0.0,2.85
1000,26,974.0,949.49,23.11,1.31,0.09,0.0,2.93
1000,27,973.0,947.65,23.82,1.41,0.12,0.0,2.97
1000,28,972.0,945.73,24.66,1.49,0.12,0.0,3.0
1000,29,971.0,943.87,25.39,1.61,0.13,0.0,3.02
1000,30,970.0,941.96,26.21,1.7,0.13,0.0,3.03
1000,31,969.0,940.09,26.97,1.79,0.15,0.0,3.07
1000,32,968.0,938.2,27.76,1.88,0.16,0.0,3.08
1000,33,967.0,936.31,28.55,1.97,0.17,0.0,3.09
1000,34,966.0,934.48,29.21,2.14,0.17,0.0,3.1
1000,35,965.0,932.59,30.03,2.19,0.18,0.0,3.14
1000,36,964.02,930.81,30.68,2.31,0.21,0.0,3.17
1000,37,963.02,928.96,31.41,2.4,0.24,0.0,3.21
1000,38,962.02,927.13,32.16,2.43,0.25,0.04,3.28
1000,39,961.02,925.3,32.86,2.52,0.29,0.04,3.32
1000,40,960.02,923.51,33.47,2.67,0.32,0.04,3.36
1000,41,959.02,921.72,34.09,2.81,0.34,0.05,3.4
1000,42,958.02,919.84,34.87,2.89,0.36,0.05,3.42
1000,43,957.02,918.02,35.54,3.02,0.37,0.06,3.43
1000,44,956.02,916.19,36.24,3.11,0.41,0.06,3.45
1000,45,955.02,914.39,36.9,3.21,0.43,0.08,3.5
1000,46,954.02,912.56,37.6,3.3,0.47,0.08,3.53
1000,47,953.02,910.78,38.17,3.5,0.48,0.08,3.54
1000,48,952.02,908.98,38.8,3.65,0.49,0.09,3.57
1000,49,951.02,907.3,39.23,3.85,0.52,0.11,3.6
1000,50,950.02,905.55,39.76,4.04,0.55,0.11,3.62
1000,51,949.02,903.8,40.33,4.17,0.58,0.13,3.66
1000,52,948.02,901.98,41.02,4.26,0.61,0.14,3.69
1000,53,947.02,900.13,41.75,4.36,0.62,0.15,3.72
1000,54,946.02,898.36,42.31,4.55,0.64,0.15,3.73
1000,55,945.02,896.53,43.01,4.66,0.65,0.15,3.77
1000,56,944.02,894.78,43.58,4.82,0.66,0.14,3.85
1000,57,943.02,893.07,44.08,4.96,0.72,0.15,3.89
1000,58,942.02,891.35,44.6,5.1,0.78,0.13,3.92
1000,59,941.02,889.65,45.06,5.29,0.82,0.14,3.96
1000,60,940.02,887.84,45.72,5.41,0.84,0.15,3.98
1000,61,939.02,886.15,46.16,5.61,0.89,0.14,4.02
1000,62,938.02,884.42,46.72,5.71,0.95,0.13,4.08
1000,63,937.02,882.71,47.25,5.81,1.01,0.15,4.12
1000,64,936.02,880.95,47.86,5.93,1.01,0.16,4.17
1000,65,935.02,879.19,48.48,6.0,1.06,0.17,4.2
1000,66,934.02,877.48,48.98,6.15,1.1,0.19,4.23
1000,67,933.04,875.85,49.46,6.21,1.18,0.2,4.3
1000,68,932.04,874.12,50.03,6.29,1.25,0.2,4.34
1000,69,931.04,872.38,50.58,6.43,1.29,0.2,4.38
1000,70,930.04,870.56,51.28,6.52,1.29,0.23,4.41
1000,71,929.04,868.82,51.82,6.67,1.33,0.24,4.42
1000,72,928.04,867.14,52.26,6.86,1.37,0.24,4.45
1000,73,927.06,865.44,52.81,6.98,1.39,0.26,4.48
1000,74,926.06,863.76,53.25,7.16,1.43,0.28,4.49
1000,75,925.06,862.13,53.64,7.31,1.5,0.28,4.56
1000,76,924.06,860.41,54.12,7.51,1.54,0.28,4.56
1000,77,923.06,858.64,54.73,7.62,1.57,0.3,4.56
1000,78,922.06,856.98,55.14,7.83,1.58,0.32,4.59
1000,79,921.06,855.24,55.74,7.9,1.61,0.35,4.63
1000,80,920.06,853.61,56.2,7.95,1.7,0.37,4.73
1000,81,919.06,851.87,56.78,8.05,1.76,0.37,4.77
1000,82,918.06,850.14,57.35,8.12,1.84,0.37,4.8
1000,83,917.06,848.42,57.91,8.19,1.91,0.39,4.82
1000,84,916.06,846.8,58.3,8.32,1.97,0.42,4.85
1000,85,915.06,845.23,58.58,8.54,1.99,0.45,4.9
1000,86,914.06,843.54,59.07,8.65,2.07,0.45,4.91
1000,87,913.06,841.84,59.58,8.78,2.09,0.48,4.92
1000,88,912.06,840.23,59.91,8.98,2.14,0.51,4.94
1000,89,911.06,838.63,60.22,9.19,2.21,0.51,4.96
1000,90,910.06,837.08,60.49,9.33,2.33,0.52,4.98
1000,91,909.06,835.45,60.88,9.47,2.41,0.54,5.0
1000,92,908.06,833.81,61.28,9.62,2.47,0.57,5.02
1000,93,907.06,832.23,61.59,9.81,2.5,0.61,5.06
1000,94,906.06,830.64,61.93,9.96,2.57,0.62,5.12
1000,95,905.06,829.02,62.29,10.13,2.65,0.62,5.14
1000,96,904.06,827.35,62.77,10.28,2.64,0.64,5.21
1000,97,903.06,825.63,63.27,10.45,2.68,0.65,5.22
1000,98,902.06,824.03,63.65,10.58,2.7,0.7,5.25
1000,99,901.06,822.35,64.15,10.67,2.74,0.75,5.27
1000,100,900.06,820.69,64.65,10.73,2.81,0.76,5.31
1000,101,899.06,819.07,65.03,10.89,2.84,0.8,5.33
1000,102,898.06,817.4,65.45,11.06,2.92,0.8,5.33
1000,103,897.07,815.88,65.71,11.24,2.94,0.86,5.39
1000,104,896.07,814.38,65.94,11.44,2.93,0.89,5.47
1000,105,895.07,812.81,66.19,11.68,3.0,0.88,5.49
1000,106,894.07,811.34,66.35,11.89,3.05,0.9,5.58
1000,107,893.07,809.68,66.79,12.06,3.08,0.87,5.6
1000,108,892.07,808.1,67.11,12.22,3.14,0.9,5.6
1000,109,891.07,806.53,67.42,12.39,3.19,0.92,5.62
1000,110,890.07,804.89,67.86,12.53,3.21,0.95,5.68
1000,111,889.07,803.41,68.0,12.77,3.29,0.93,5.71
1000,112,888.07,801.79,68.41,12.9,3.34,0.93,5.76
1000,113,887.07,800.17,68.83,12.98,3.42,0.96,5.8
1000,114,886.07,798.65,69.05,13.18,3.47,0.99,5.85
1000,115,885.07,797.05,69.39,13.35,3.54,1.01,5.88
1000,116,884.07,795.43,69.76,13.52,3.59,1.02,5.89
1000,117,883.07,793.9,70.09,13.61,3.63,1.05,5.98
1000,118,882.07,792.42,70.3,13.75,3.72,1.06,6.06
1000,119,881.07,790.96,70.46,13.93,3.76,1.11,6.09
1000,120,880.07,789.48,70.69,14.02,3.82,1.2,6.11
1000,121,879.07,787.94,70.96,14.2,3.88,1.2,6.16
1000,122,878.07,786.37,71.25,14.41,3.9,1.23,6.18
1000,123,877.07,784.89,71.47,14.5,3.99,1.3,6.2
1000,124,876.08,783.37,71.78,14.55,4.11,1.34,6.22
1000,125,875.08,781.87,72.04,14.66,4.18,1.37,6.28
1000,126,874.08,780.4,72.23,14.81,4.25,1.42,6.32
1000,127,873.08,778.91,72.48,14.92,4.34,1.4,6.4
1000,128,872.08,777.39,72.69,15.14,4.37,1.46,6.42
1000,129,871.08,775.88,72.9,15.35,4.42,1.47,6.46
1000,130,870.08,774.31,73.25,15.46,4.48,1.5,6.51
1000,131,869.08,772.81,73.5,15.6,4.53,1.53,6.55
1000,132,868.08,771.33,73.72,15.72,4.62,1.56,6.57
1000,133,867.08,769.79,74.03,15.84,4.67,1.58,6.6
1000,134,866.08,768.27,74.25,16.09,4.7,1.58,6.68
1000,135,865.08,766.77,74.53,16.16,4.79,1.61,6.72
1000,136,864.08,765.35,74.75,16.2,4.83,1.69,6.79
1000,137,863.08,763.88,74.97,16.25,4.97,1.74,6.81
1000,138,862.08,762.46,75.17,16.3,5.07,1.74,6.86
1000,139,861.08,760.98,75.45,16.34,5.17,1.75,6.91
1000,140,860.08,759.51,75.67,16.45,5.26,1.74,6.96
1000,141,859.08,758.08,75.82,16.56,5.38,1.76,6.98
1000,142,858.08,756.6,76.07,16.62,5.45,1.85,6.99
1000,143,857.08,755.21,76.14,16.75,5.6,1.87,7.0
1000,144,856.08,753.75,76.37,16.81,5.69,1.92,7.05
1000,145,855.08,752.27,76.66,16.87,5.74,1.97,7.13
