n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,998.0,1.0,0.0,0.0,0.0,2.0
1000,2,998.0,996.0,2.0,0.0,0.0,0.0,2.0
1000,3,997.0,994.01,2.98,0.01,0.0,0.0,2.01
1000,4,996.0,992.02,3.96,0.02,0.0,0.0,2.02
1000,5,995.0,990.03,4.94,0.03,0.0,0.0,2.03
1000,6,994.0,988.04,5.92,0.04,0.0,0.0,2.04
1000,7,993.0,986.06,6.88,0.06,0.0,0.0,2.05
1000,8,992.0,984.09,7.82,0.09,0.0,0.0,2.07
1000,9,991.0,982.14,8.72,0.14,0.0,0.0,2.12
1000,10,990.0,980.17,9.66,0.17,0.0,0.0,2.15
1000,11,989.0,978.2,10.6,0.2,0.0,0.0,2.18
1000,12,988.0,976.24,11.52,0.24,0.0,0.0,2.22
1000,13,987.0,974.27,12.46,0.27,0.0,0.0,2.25
1000,14,986.0,972.31,13.38,0.31,0.0,0.0,2.28
1000,15,985.0,970.36,14.28,0.36,0.0,0.0,2.3
1000,16,984.0,968.43,15.14,0.43,0.0,0.0,2.35
1000,17,983.0,966.51,15.98,0.51,0.0,0.0,2.4
1000,18,982.0,964.58,16.84,0.58,0.0,0.0,2.45
1000,19,981.0,962.67,17.68,0.63,0.02,0.0,2.52
1000,20,980.0,960.71,18.6,0.67,0.02,0.0,2.55
1000,21,979.0,958.77,19.48,0.73,0.02,0.0,2.59
1000,22,978.0,956.83,20.36,0.79,0.02,0.0,2.59
1000,23,977.0,954.95,21.13,0.89,0.03,0.0,2.64
1000,24,976.0,953.06,21.92,0.98,0.04,0.0,2.7
1000,25,975.0,951.17,22.72,1.05,0.06,0.0,2.74
1000,26,974.0,949.3,23.47,1.16,0.07,0.0,2.79
1000,27,973.0,947.44,24.19,1.3,0.07,0.0,2.83
1000,28,972.0,945.51,25.07,1.33,0.09,0.0,2.85
1000,29,971.0,943.6,25.9,1.4,0.1,0.0,2.87
1000,30,970.0,941.68,26.75,1.46,0.11,0.0,2.9
1000,31,969.0,939.83,27.48,1.55,0.14,0.0,2.99
1000,32,968.0,937.93,28.3,1.62,0.14,0.01,3.02
1000,33,967.0,936.03,29.1,1.72,0.14,0.01,3.06
1000,34,966.0,934.14,29.89,1.81,0.15,0.01,3.07
1000,35,965.0,932.24,30.7,1.89,0.16,0.01,3.09
1000,36,964.0,930.38,31.43,2.02,0.15,0.02,3.11
1000,37,963.0,928.48,32.24,2.1,0.16,0.02,3.12
1000,38,962.0,926.61,33.01,2.17,0.19,0.02,3.16
1000,39,961.0,924.78,33.72,2.25,0.22,0.03,3.23
1000,40,960.0,922.93,34.43,2.38,0.23,0.03,3.25
1000,41,959.0,921.07,35.17,2.48,0.25,0.03,3.28
1000,42,958.0,919.25,35.83,2.62,0.27,0.03,3.3
1000,43,957.0,917.41,36.56,2.68,0.32,0.03,3.34
1000,44,956.0,915.64,37.15,2.81,0.37,0.03,3.39
1000,45,955.0,913.82,37.82,2.93,0.4,0.03,3.42
1000,46,954.0,911.97,38.53,3.06,0.41,0.03,3.43
1000,47,953.0,910.12,39.23,3.21,0.41,0.03,3.43
1000,48,952.0,908.22,40.05,3.27,0.43,0.03,3.45
1000,49,951.0,906.34,40.82,3.37,0.44,0.03,3.46
1000,50,950.0,904.48,41.54,3.51,0.44,0.03,3.46
1000,51,949.0,902.71,42.12,3.68,0.44,0.05,3.49
1000,52,948.0,900.89,42.77,3.84,0.45,0.05,3.5
1000,53,947.0,899.07,43.45,3.94,0.49,0.05,3.53
1000,54,946.0,897.28,44.04,4.13,0.5,0.05,3.54
1000,55,945.01,895.46,44.73,4.25,0.52,0.05,3.55
1000,56,944.01,893.66,45.37,4.38,0.54,0.06,3.56
1000,57,943.01,891.94,45.87,4.55,0.58,0.07,3.6
1000,58,942.01,890.23,46.37,4.7,0.62,0.09,3.65
1000,59,941.01,888.45,46.99,4.83,0.63,0.1,3.69
1000,60,940.01,886.54,47.82,4.9,0.64,0.1,3.7
1000,61,939.01,884.77,48.42,5.03,0.66,0.12,3.75
1000,62,938.01,882.9,49.19,5.1,0.69,0.12,3.78
1000,63,937.01,881.1,49.82,5.25,0.7,0.13,3.79
1000,64,936.01,879.3,50.46,5.37,0.74,0.13,3.79
1000,65,935.01,877.58,50.92,5.61,0.76,0.13,3.8
1000,66,934.01,875.84,51.44,5.79,0.8,0.13,3.83
1000,67,933.01,874.05,52.06,5.92,0.84,0.13,3.84
1000,68,932.01,872.28,52.64,6.08,0.86,0.14,3.85
1000,69,931.01,870.53,53.2,6.23,0.89,0.14,3.89
1000,70,930.01,868.77,53.77,6.39,0.92,0.13,3.91
1000,71,929.01,867.06,54.25,6.57,0.96,0.14,3.93
1000,72,928.01,865.34,54.76,6.72,1.01,0.15,3.96
1000,73,927.01,863.63,55.25,6.89,1.04,0.17,3.99
1000,74,926.01,861.82,55.92,6.98,1.09,0.17,4.0
1000,75,925.01,860.12,56.41,7.12,1.15,0.17,4.02
1000,76,924.01,858.52,56.77,7.26,1.19,0.23,4.08
1000,77,923.02,856.79,57.38,7.31,1.23,0.27,4.16
1000,78,922.02,855.06,57.87,7.52,1.26,0.27,4.16
1000,79,921.02,853.31,58.41,7.71,1.27,0.27,4.18
1000,80,920.04,851.56,59.01,7.86,1.28,0.28,4.21
1000,81,919.04,849.87,59.45,8.07,1.3,0.3,4.23
1000,82,918.04,848.17,59.92,8.23,1.37,0.3,4.26
1000,83,917.04,846.52,60.38,8.29,1.48,0.31,4.3
1000,84,916.04,844.78,60.96,8.38,1.52,0.34,4.35
1000,85,915.04,843.11,61.48,8.42,1.56,0.41,4.4
1000,86,914.04,841.42,62.0,8.48,1.66,0.4,4.44
1000,87,913.06,839.7,62.56,8.63,1.69,0.39,4.47
1000,88,912.06,838.06,63.01,8.71,1.76,0.41,4.53
1000,89,911.06,836.39,63.48,8.86,1.75,0.45,4.55
1000,90,910.06,834.73,63.87,9.08,1.79,0.45,4.58
1000,91,909.06,833.1,64.22,9.29,1.84,0.47,4.59
1000,92,908.06,831.42,64.68,9.48,1.85,0.46,4.65
1000,93,907.06,829.8,65.02,9.67,1.93,0.47,4.66
1000,94,906.08,828.21,65.35,9.9,1.94,0.51,4.69
1000,95,905.08,826.56,65.75,10.09,1.97,0.53,4.74
1000,96,904.08,824.99,66.05,10.26,2.02,0.57,4.77
1000,97,903.08,823.31,66.5,10.42,2.07,0.59,4.79
1000,98,902.08,821.61,66.99,10.58,2.11,0.6,4.83
1000,99,901.08,819.92,67.46,10.75,2.14,0.6,4.86
1000,100,900.08,818.22,67.96,10.89,2.16,0.64,4.87
1000,101,899.08,816.59,68.33,11.1,2.18,0.66,4.9
1000,102,898.08,814.88,68.87,11.22,2.2,0.66,4.95
1000,103,897.08,813.25,69.27,11.35,2.26,0.7,4.97
1000,104,896.08,811.64,69.62,11.55,2.29,0.73,5.03
1000,105,895.08,809.95,70.1,11.71,2.3,0.76,5.04
1000,106,894.08,808.36,70.47,11.82,2.36,0.79,5.09
1000,107,893.08,806.8,70.78,11.91,2.5,0.8,5.11
1000,108,892.08,805.13,71.27,11.99,2.58,0.81,5.15
1000,109,891.08,803.54,71.61,12.15,2.64,0.81,5.2
1000,110,890.08,801.85,72.09,12.3,2.69,0.81,5.24
1000,111,889.08,800.14,72.58,12.47,2.72,0.83,5.24
1000,112,888.08,798.52,72.96,12.6,2.8,0.86,5.26
1000,113,887.08,796.9,73.29,12.82,2.86,0.87,5.26
1000,114,886.08,795.28,73.75,12.84,2.93,0.93,5.29
1000,115,885.08,793.62,74.22,12.94,2.99,0.94,5.32
1000,116,884.08,792.05,74.45,13.21,3.05,0.94,5.33
1000,117,883.08,790.46,74.78,13.37,3.11,0.97,5.35
1000,118,882.08,788.85,75.14,13.52,3.21,0.94,5.37
1000,119,881.08,787.35,75.39,13.62,3.32,0.94,5.44
1000,120,880.08,785.75,75.77,13.75,3.36,0.97,5.48
1000,121,879.08,784.15,76.16,13.86,3.41,1.01,5.54
1000,122,878.1,782.68,76.31,14.08,3.5,1.04,5.55
1000,123,877.1,781.15,76.66,14.11,3.58,1.08,5.6
1000,124,876.1,779.61,76.93,14.25,3.7,1.09,5.65
1000,125,875.1,778.03,77.25,14.4,3.76,1.14,5.65
1000,126,874.12,776.54,77.53,14.49,3.84,1.17,5.69
1000,127,873.12,774.97,77.84,14.66,3.9,1.18,5.74
1000,128,872.12,773.45,78.03,14.89,3.97,1.21,5.76
1000,129,871.12,771.88,78.34,15.1,3.97,1.21,5.8
1000,130,870.12,770.23,78.77,15.22,4.06,1.21,5.82
1000,131,869.12,768.76,78.95,15.36,4.13,1.28,5.84
1000,132,868.12,767.11,79.42,15.48,4.15,1.27,5.9
1000,133,867.12,765.64,79.58,15.66,4.2,1.34,5.91
1000,134,866.12,764.11,79.81,15.87,4.25,1.36,5.95
1000,135,865.12,762.57,80.09,16.03,4.32,1.35,5.99
1000,136,864.12,761.05,80.27,16.27,4.39,1.37,5.99
1000,137,863.12,759.4,80.72,16.37,4.46,1.39,6.01
1000,138,862.12,757.85,81.05,16.47,4.5,1.45,6.02
1000,139,861.13,756.33,81.34,16.61,4.53,1.5,6.07
1000,140,860.13,754.76,81.69,16.76,4.53,1.55,6.13
1000,141,859.13,753.13,82.11,16.91,4.52,1.6,6.15
1000,142,858.13,751.72,82.18,17.15,4.57,1.62,6.19
1000,143,857.13,750.12,82.54,17.29,4.64,1.64,6.22
1000,144,856.13,748.6,82.77,17.5,4.65,1.69,6.23
1000,145,855.13,747.08,83.0,17.68,4.7,1.73,6.23
