n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,998.0,1.0,0.0,0.0,0.0,2.0
1000,2,998.0,996.0,2.0,0.0,0.0,0.0,2.0
1000,3,997.0,994.0,3.0,0.0,0.0,0.0,2.0
1000,4,996.0,992.02,3.96,0.02,0.0,0.0,2.02
1000,5,995.0,990.02,4.96,0.02,0.0,0.0,2.02
1000,6,994.0,988.08,5.84,0.08,0.0,0.0,2.08
1000,7,993.0,986.08,6.84,0.08,0.0,0.0,2.08
1000,8,992.0,984.08,7.84,0.08,0.0,0.0,2.08
1000,9,991.0,982.08,8.84,0.08,0.0,0.0,2.08
1000,10,990.0,980.14,9.74,0.1,0.02,0.0,2.12
1000,11,989.0,978.22,10.6,0.14,0.04,0.0,2.2
1000,12,988.0,976.26,11.52,0.18,0.04,0.0,2.24
1000,13,987.0,974.3,12.46,0.18,0.06,0.0,2.28
1000,14,986.0,972.36,13.34,0.24,0.06,0.0,2.34
1000,15,985.0,970.46,14.14,0.34,0.06,0.0,2.4
1000,16,984.0,968.58,14.94,0.38,0.1,0.0,2.5
1000,17,983.0,966.6,15.9,0.4,0.1,0.0,2.52
1000,18,982.0,964.7,16.72,0.46,0.12,0.0,2.58
1000,19,981.0,962.82,17.48,0.58,0.12,0.0,2.64
1000,20,980.0,960.84,18.44,0.6,0.12,0.0,2.66
1000,21,979.0,958.88,19.36,0.64,0.12,0.0,2.68
1000,22,978.0,956.92,20.28,0.68,0.12,0.0,2.7
1000,23,977.0,955.0,21.12,0.76,0.12,0.0,2.72
1000,24,976.0,953.02,22.08,0.78,0.12,0.0,2.74
1000,25,975.0,951.12,22.9,0.84,0.14,0.0,2.82
1000,26,974.0,949.22,23.7,0.94,0.14,0.0,2.86
1000,27,973.0,947.4,24.36,1.08,0.16,0.0,2.9
1000,28,972.0,945.44,25.28,1.12,0.16,0.0,2.9
1000,29,971.0,943.54,26.08,1.22,0.16,0.0,2.92
1000,30,970.0,941.62,26.92,1.3,0.16,0.0,2.92
1000,31,969.0,939.7,27.78,1.34,0.18,0.0,2.94
1000,32,968.0,937.8,28.62,1.36,0.22,0.0,3.02
1000,33,967.0,935.98,29.32,1.44,0.24,0.02,3.1
1000,34,966.0,934.12,30.04,1.58,0.24,0.02,3.12
1000,35,965.0,932.22,30.84,1.68,0.24,0.02,3.12
1000,36,964.0,930.4,31.5,1.82,0.26,0.02,3.2
1000,37,963.0,928.54,32.22,1.96,0.26,0.02,3.2
1000,38,962.0,926.7,32.92,2.08,0.28,0.02,3.26
1000,39,961.0,924.78,33.76,2.16,0.28,0.02,3.26
1000,40,960.0,922.92,34.52,2.22,0.32,0.02,3.28
1000,41,959.0,921.1,35.22,2.28,0.38,0.02,3.34
1000,42,958.0,919.34,35.78,2.44,0.42,0.02,3.38
1000,43,957.0,917.56,36.36,2.62,0.44,0.02,3.4
1000,44,956.0,915.68,37.16,2.68,0.44,0.04,3.42
1000,45,955.0,913.82,37.88,2.82,0.44,0.04,3.44
1000,46,954.0,911.98,38.62,2.88,0.46,0.06,3.5
1000,47,953.0,910.16,39.28,3.02,0.48,0.06,3.5
1000,48,952.0,908.36,39.94,3.12,0.5,0.08,3.54
1000,49,951.0,906.54,40.58,3.3,0.5,0.08,3.54
1000,50,950.0,904.7,41.28,3.42,0.52,0.08,3.56
1000,51,949.0,902.94,41.84,3.58,0.56,0.08,3.6
1000,52,948.0,901.1,42.58,3.62,0.62,0.08,3.62
1000,53,947.0,899.3,43.22,3.74,0.66,0.08,3.62
1000,54,946.0,897.44,43.94,3.88,0.66,0.08,3.62
1000,55,945.0,895.62,44.6,4.02,0.68,0.08,3.62
1000,56,944.0,893.78,45.32,4.12,0.68,0.1,3.66
1000,57,943.0,891.98,45.94,4.28,0.7,0.1,3.68
1000,58,942.0,890.3,46.36,4.48,0.76,0.1,3.72
1000,59,941.0,888.58,46.84,4.7,0.76,0.12,3.76
1000,60,940.0,886.8,47.44,4.84,0.8,0.12,3.78
1000,61,939.0,885.12,47.86,5.06,0.82,0.14,3.8
1000,62,938.0,883.28,48.58,5.16,0.82,0.16,3.84
1000,63,937.0,881.44,49.28,5.28,0.84,0.16,3.84
1000,64,936.0,879.7,49.82,5.44,0.86,0.18,3.88
1000,65,935.0,877.92,50.4,5.62,0.88,0.18,3.9
1000,66,934.0,876.08,51.1,5.74,0.9,0.18,3.9
1000,67,933.0,874.34,51.64,5.88,0.96,0.18,3.9
1000,68,932.0,872.54,52.3,5.96,1.02,0.18,3.9
1000,69,931.0,870.68,53.04,6.08,1.0,0.2,3.92
1000,70,930.0,868.98,53.48,6.3,1.04,0.2,3.94
1000,71,929.0,867.36,53.82,6.52,1.08,0.2,4.0
1000,72,928.0,865.66,54.36,6.58,1.16,0.2,4.1
1000,73,927.0,863.98,54.78,6.78,1.22,0.2,4.1
1000,74,926.0,862.22,55.34,6.94,1.26,0.2,4.12
1000,75,925.0,860.42,56.02,7.0,1.3,0.22,4.14
1000,76,924.0,858.7,56.54,7.14,1.34,0.24,4.16
1000,77,923.0,856.96,57.08,7.28,1.4,0.24,4.18
1000,78,922.0,855.3,57.46,7.5,1.46,0.24,4.2
1000,79,921.0,853.62,57.84,7.78,1.48,0.24,4.22
1000,80,920.0,851.82,58.46,7.96,1.46,0.26,4.24
1000,81,919.0,850.16,58.88,8.14,1.48,0.3,4.26
1000,82,918.0,848.34,59.56,8.24,1.52,0.3,4.26
1000,83,917.0,846.66,60.02,8.42,1.52,0.32,4.3
1000,84,916.0,844.94,60.54,8.56,1.58,0.32,4.32
1000,85,915.04,843.3,60.98,8.76,1.62,0.32,4.32
1000,86,914.04,841.76,61.24,8.92,1.68,0.38,4.34
1000,87,913.04,840.06,61.74,9.04,1.76,0.36,4.36
1000,88,912.04,838.36,62.24,9.14,1.86,0.36,4.38
1000,89,911.04,836.68,62.72,9.28,1.88,0.38,4.4
1000,90,910.04,835.06,63.06,9.5,1.9,0.42,4.44
1000,91,909.04,833.52,63.22,9.82,1.94,0.44,4.46
1000,92,908.04,831.8,63.74,9.94,2.02,0.44,4.46
1000,93,907.04,830.08,64.28,10.06,2.04,0.48,4.48
1000,94,906.04,828.44,64.64,10.28,2.08,0.5,4.5
1000,95,905.04,826.96,64.8,10.46,2.16,0.56,4.52
1000,96,904.04,825.26,65.3,10.58,2.22,0.58,4.54
1000,97,903.04,823.48,65.9,10.72,2.26,0.58,4.56
1000,98,902.04,821.76,66.44,10.86,2.24,0.64,4.6
1000,99,901.04,820.14,66.82,10.98,2.36,0.62,4.62
1000,100,900.04,818.5,67.22,11.16,2.36,0.68,4.68
1000,101,899.04,816.88,67.54,11.38,2.44,0.68,4.68
1000,102,898.04,815.32,67.82,11.64,2.4,0.72,4.76
1000,103,897.04,813.76,68.16,11.72,2.46,0.8,4.82
1000,104,896.04,812.1,68.6,11.88,2.52,0.78,4.88
1000,105,895.04,810.58,68.84,12.06,2.54,0.84,4.94
1000,106,894.04,808.92,69.28,12.18,2.62,0.86,4.94
1000,107,893.04,807.38,69.5,12.38,2.72,0.88,4.96
1000,108,892.04,805.78,69.74,12.72,2.72,0.9,4.96
1000,109,891.04,804.2,70.1,12.8,2.82,0.92,5.02
1000,110,890.04,802.66,70.38,12.9,2.94,0.96,5.06
1000,111,889.04,801.06,70.82,12.92,3.02,0.98,5.08
1000,112,888.04,799.4,71.26,13.1,3.02,0.98,5.14
1000,113,887.04,797.8,71.64,13.18,3.12,1.02,5.18
1000,114,886.04,796.26,71.88,13.36,3.22,1.02,5.2
1000,115,885.04,794.64,72.3,13.46,3.28,1.04,5.22
1000,116,884.04,793.24,72.3,13.66,3.48,1.04,5.22
1000,117,883.04,791.58,72.8,13.7,3.54,1.1,5.24
1000,118,882.04,790.02,73.24,13.64,3.62,1.18,5.3
1000,119,881.04,788.48,73.56,13.68,3.76,1.2,5.32
1000,120,880.04,786.94,73.74,13.96,3.84,1.18,5.34
1000,121,879.04,785.32,74.14,14.1,3.92,1.14,5.42
1000,122,878.04,783.68,74.56,14.26,3.9,1.22,5.42
1000,123,877.04,782.22,74.68,14.46,4.0,1.24,5.44
1000,124,876.04,780.6,75.12,14.52,4.06,1.28,5.46
1000,125,875.04,779.02,75.5,14.66,4.04,1.32,5.56
1000,126,874.04,777.42,75.86,14.84,4.04,1.38,5.6
1000,127,873.04,775.82,76.24,14.98,4.1,1.4,5.68
1000,128,872.04,774.36,76.54,14.84,4.34,1.44,5.7
1000,129,871.04,772.74,77.0,14.88,4.38,1.5,5.76
1000,130,870.04,771.16,77.32,15.1,4.36,1.52,5.78
1000,131,869.04,769.5,77.84,15.16,4.36,1.56,5.84
1000,132,868.04,767.88,78.26,15.28,4.42,1.56,5.9
1000,133,867.04,766.26,78.58,15.54,4.44,1.58,5.92
1000,134,866.04,764.7,78.94,15.56,4.56,1.64,5.92
1000,135,865.04,763.1,79.34,15.64,4.66,1.64,5.98
1000,136,864.04,761.58,79.54,15.86,4.7,1.7,5.98
1000,137,863.04,760.16,79.6,16.1,4.8,1.68,6.04
1000,138,862.04,758.58,79.94,16.24,4.82,1.76,6.04
1000,139,861.04,757.0,80.28,16.34,4.94,1.78,6.06
1000,140,860.04,755.44,80.56,16.52,5.02,1.76,6.08
1000,141,859.04,754.02,80.66,16.7,5.08,1.8,6.08
1000,142,858.04,752.52,80.84,16.92,5.12,1.84,6.08
1000,143,857.04,751.12,80.9,17.12,5.16,1.94,6.1
1000,144,856.04,749.58,81.18,17.24,5.24,2.0,6.1
1000,145,855.04,748.1,81.32,17.44,5.36,2.0,6.14
