AAAA,AAAB,AABB,ABBB,BBBB,all,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6454184395654955e-09,0.0,0.0,0.0,2.6454184395654955e-09,5.290836879130991e-09,0.001
2.0994716161179417e-08,0.0,0.0,0.0,2.0994716161179417e-08,4.1989432322358834e-08,0.002
7.029257110256947e-08,0.0,0.0,0.0,7.029257110256947e-08,1.4058514220513894e-07,0.003
1.6529179000818308e-07,0.0,0.0,0.0,1.6529179000818308e-07,3.3058358001636616e-07,0.004
3.202631463841078e-07,0.0,0.0,0.0,3.202631463841078e-07,6.405262927682156e-07,0.005
5.490050613566427e-07,0.0,0.0,0.0,5.490050613566427e-07,1.0980101227132854e-06,0.006
8.648531296277492e-07,0.0,0.0,0.0,8.648531296277492e-07,1.7297062592554985e-06,0.007
1.2806894926926227e-06,0.0,0.0,0.0,1.2806894926926227e-06,2.5613789853852455e-06,0.008
1.8089520614569847e-06,0.0,0.0,0.0,1.8089520614569847e-06,3.6179041229139693e-06,0.009000000000000001
2.4616435903643633e-06,0.0,0.0,0.0,2.4616435903643633e-06,4.923287180728727e-06,0.010000000000000002
3.25034060511666e-06,0.0,0.0,0.0,3.25034060511666e-06,6.50068121023332e-06,0.011000000000000003
4.186202186044602e-06,0.0,0.0,0.0,4.186202186044602e-06,8.372404372089204e-06,0.012000000000000004
5.279978609158371e-06,0.0,0.0,0.0,5.279978609158371e-06,1.0559957218316741e-05,0.013000000000000005
6.5420198468826215e-06,0.0,0.0,0.0,6.5420198468826215e-06,1.3084039693765243e-05,0.014000000000000005
7.982283930454427e-06,0.0,0.0,0.0,7.982283930454427e-06,1.5964567860908854e-05,0.015000000000000006
9.610345175937242e-06,0.0,0.0,0.0,9.610345175937242e-06,1.9220690351874484e-05,0.016000000000000007
1.143540227577889e-05,0.0,0.0,0.0,1.143540227577889e-05,2.287080455155778e-05,0.017000000000000008
1.3466286257816777e-05,0.0,0.0,0.0,1.3466286257816777e-05,2.6932572515633553e-05,0.01800000000000001
