AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,all,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.413097466023578e-12,1.6716331409632207e-12,1.1656846742562711e-12,1.1656846742562711e-12,1.6716331409632207e-12,5.413097466023578e-12,1.650083056248614e-11,0.001
8.574777994087498e-11,2.6480001812803777e-11,1.846537468722199e-11,1.846537468722199e-11,2.6480001812803777e-11,8.574777994087498e-11,2.6138631288180147e-10,0.002
4.2977878732879405e-10,1.3272113954924798e-10,9.255080826720112e-11,9.255080826720112e-11,1.3272113954924798e-10,4.2977878732879405e-10,1.3101014702904864e-09,0.003
1.3447977621927242e-09,4.1529060233713177e-10,2.8959577232843416e-10,2.8959577232843416e-10,4.1529060233713177e-10,1.3447977621927242e-09,4.099368273716581e-09,0.004
3.2505292990360353e-09,1.0038046674840565e-09,6.999859527544636e-10,6.999859527544636e-10,1.0038046674840565e-09,3.2505292990360353e-09,9.90863983854911e-09,0.005
6.6732304732339585e-09,2.0607781933285756e-09,1.4370482961473548e-09,1.4370482961473548e-09,2.0607781933285756e-09,6.6732304732339585e-09,2.034211392541978e-08,0.006
1.223996956801619e-08,3.779857817581003e-09,2.6358189610209907e-09,2.635818961020991e-09,3.779857817581004e-09,1.223996956801619e-08,3.731129269323637e-08,0.007
2.067307980336715e-08,6.3841091984755735e-09,4.451848954821122e-09,4.451848954821122e-09,6.3841091984755735e-09,2.067307980336715e-08,6.30180759133277e-08,0.008
3.2784783954641574e-08,1.0124357028833776e-08,7.0600465712290825e-09,7.0600465712290825e-09,1.0124357028833776e-08,3.2784783954641574e-08,9.993837510940887e-08,0.009000000000000001
4.9471985831116146e-08,1.527757657859183e-08,1.0653555759955399e-08,1.0653555759955399e-08,1.527757657859183e-08,4.9471985831116146e-08,1.5080623633932676e-07,0.010000000000000002
7.171122466563717e-08,2.214533554634063e-08,1.5442669578659583e-08,1.5442669578659583e-08,2.214533554634063e-08,7.171122466563717e-08,2.1859845958127478e-07,0.011000000000000003
1.0055378854600611e-07,3.105228502497087e-08,2.165377789374808e-08,2.1653777893748077e-08,3.105228502497087e-08,1.0055378854600611e-07,3.065197029294501e-07,0.012000000000000004
1.3712098309679002e-07,4.234469841061855e-08,2.952834851360963e-08,2.9528348513609634e-08,4.234469841061855e-08,1.3712098309679002e-07,4.1798806004203634e-07,0.013000000000000005
1.8259955169688304e-07,5.638905710777149e-08,3.9321940954350295e-08,3.932194095435029e-08,5.638905710777149e-08,1.8259955169688304e-07,5.566210995180096e-07,0.014000000000000005
2.3823724359339057e-07,7.357068190663626e-08,5.1303252054295044e-08,5.1303252054295044e-08,7.357068190663626e-08,2.3823724359339057e-07,7.262223551086437e-07,0.015000000000000006
3.053385263462986e-07,9.429240893168151e-08,6.575319266943431e-08,6.575319266943431e-08,9.429240893168151e-08,3.053385263462986e-07,9.307682558948287e-07,0.016000000000000007
3.852604391109311e-07,1.189733090826764e-07,8.296399469761508e-08,8.29639946976151e-08,1.189733090826764e-07,3.852604391109311e-07,1.1743954857824452e-06,0.017000000000000008
4.794085833364283e-07,1.4804744991153844e-07,1.0323834769461559e-07,1.0323834769461559e-07,1.4804744991153844e-07,4.794085833364283e-07,1.4613887618851646e-06,0.01800000000000001
5.89233247528407e-07,1.8196269889990182e-07,1.2688856436030116e-07,1.2688856436030116e-07,1.8196269889990182e-07,5.89233247528407e-07,1.7961690215772201e-06,0.01900000000000001
7.162256627926198e-07,2.2117956712351526e-07,1.5423577418784293e-07,1.5423577418784293e-07,2.2117956712351526e-07,7.162256627926198e-07,2.183282008207956e-06,0.02000000000000001
