n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,498.949,499.051,0.496,0.059,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,497.942,498.062,0.973,0.106,0.913,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.004
1000,3,997.0,496.885,497.123,1.472,0.153,1.359,0.006,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008
1000,4,996.0,495.841,496.173,1.968,0.197,1.807,0.007,0.002,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014
1000,5,995.0,494.778,495.249,2.466,0.243,2.237,0.013,0.003,0.002,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027
1000,6,994.0,493.716,494.332,2.956,0.287,2.661,0.025,0.004,0.002,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047
1000,7,993.0,492.71,493.362,3.413,0.332,3.111,0.04,0.005,0.002,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.071
1000,8,992.0,491.652,492.451,3.894,0.376,3.525,0.055,0.007,0.003,0.036,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
1000,9,991.0,490.678,491.462,4.334,0.414,3.975,0.07,0.007,0.006,0.051,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135
1000,10,990.0,489.634,490.546,4.799,0.461,4.384,0.088,0.01,0.009,0.065,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169
1000,11,989.0,488.685,489.53,5.226,0.511,4.838,0.101,0.013,0.009,0.082,0.003,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.201
1000,12,988.0,487.645,488.621,5.69,0.551,5.236,0.119,0.017,0.011,0.101,0.005,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,2.243
1000,13,987.0,486.62,487.696,6.139,0.601,5.639,0.143,0.019,0.012,0.12,0.005,0.0,0.001,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,2.283
1000,14,986.0,485.664,486.703,6.548,0.65,6.082,0.168,0.021,0.014,0.136,0.007,0.0,0.001,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,2.322
1000,15,985.0,484.626,485.806,6.989,0.702,6.463,0.198,0.022,0.016,0.16,0.009,0.0,0.002,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,2.367
1000,16,984.0,483.574,484.918,7.442,0.751,6.846,0.222,0.026,0.02,0.178,0.012,0.0,0.002,0.001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,2.405
1000,17,983.0,482.597,483.953,7.859,0.79,7.275,0.254,0.028,0.024,0.196,0.012,0.0,0.002,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,2.441
1000,18,982.0,481.592,483.02,8.289,0.844,7.669,0.277,0.034,0.026,0.223,0.014,0.0,0.002,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,2.478
1000,19,981.0,480.621,482.07,8.698,0.877,8.075,0.311,0.041,0.028,0.249,0.013,0.0,0.002,0.002,0.011,0.001,0.0,0.0,0.0,0.0,0.001,2.523
1000,20,980.0,479.647,481.132,9.088,0.922,8.471,0.351,0.045,0.032,0.275,0.017,0.0,0.002,0.003,0.013,0.001,0.0,0.0,0.0,0.0,0.001,2.569
1000,21,979.0,478.687,480.168,9.479,0.975,8.877,0.388,0.05,0.036,0.301,0.017,0.0,0.002,0.003,0.015,0.001,0.0,0.0,0.0,0.0,0.001,2.61
1000,22,978.0,477.672,479.259,9.913,1.022,9.253,0.414,0.054,0.038,0.33,0.02,0.0,0.002,0.003,0.015,0.001,0.0,0.0,0.0,0.0,0.004,2.654
1000,23,977.0,476.69,478.333,10.32,1.063,9.626,0.448,0.058,0.047,0.365,0.021,0.001,0.002,0.004,0.017,0.001,0.0,0.0,0.0,0.0,0.004,2.692
1000,24,976.0,475.68,477.432,10.729,1.102,10.006,0.489,0.064,0.052,0.39,0.024,0.001,0.002,0.005,0.019,0.001,0.0,0.0,0.0,0.0,0.004,2.732
1000,25,975.0,474.707,476.505,11.12,1.139,10.385,0.531,0.067,0.057,0.426,0.028,0.001,0.002,0.006,0.021,0.001,0.0,0.0,0.0,0.0,0.004,2.779
1000,26,974.0,473.7,475.607,11.535,1.178,10.746,0.573,0.069,0.061,0.463,0.029,0.001,0.002,0.006,0.025,0.001,0.0,0.0,0.0,0.0,0.004,2.808
1000,27,973.0,472.699,474.731,11.924,1.209,11.093,0.625,0.075,0.063,0.5,0.033,0.002,0.003,0.007,0.031,0.001,0.0,0.0,0.0,0.0,0.004,2.85
1000,28,972.0,471.71,473.824,12.314,1.252,11.459,0.674,0.078,0.068,0.533,0.034,0.003,0.003,0.008,0.035,0.001,0.0,0.0,0.0,0.0,0.004,2.885
1000,29,971.0,470.711,472.931,12.701,1.297,11.825,0.712,0.086,0.074,0.562,0.045,0.003,0.003,0.008,0.036,0.001,0.0,0.0,0.0,0.0,0.005,2.918
1000,30,970.0,469.751,471.993,13.088,1.333,12.208,0.753,0.088,0.076,0.602,0.048,0.003,0.003,0.007,0.038,0.002,0.001,0.0,0.0,0.001,0.005,2.947
1000,31,969.0,468.772,471.093,13.459,1.382,12.564,0.803,0.091,0.08,0.631,0.053,0.004,0.004,0.01,0.044,0.002,0.001,0.0,0.0,0.001,0.006,2.982
1000,32,968.0,467.779,470.206,13.853,1.417,12.911,0.846,0.096,0.082,0.67,0.058,0.005,0.004,0.011,0.051,0.003,0.001,0.0,0.0,0.001,0.006,3.011
1000,33,967.0,466.762,469.342,14.253,1.454,13.245,0.897,0.102,0.085,0.711,0.061,0.005,0.004,0.011,0.057,0.003,0.001,0.0,0.0,0.001,0.006,3.035
1000,34,966.0,465.785,468.44,14.63,1.498,13.596,0.945,0.106,0.087,0.75,0.066,0.006,0.005,0.011,0.064,0.003,0.001,0.0,0.0,0.001,0.006,3.062
1000,35,965.0,464.824,467.531,14.983,1.551,13.95,1.001,0.11,0.088,0.785,0.066,0.006,0.005,0.012,0.071,0.007,0.002,0.0,0.0,0.001,0.007,3.096
1000,36,964.0,463.771,466.716,15.385,1.587,14.271,1.048,0.115,0.093,0.818,0.076,0.007,0.006,0.013,0.074,0.009,0.001,0.0,0.0,0.001,0.008,3.13
1000,37,963.0,462.813,465.801,15.751,1.615,14.638,1.1,0.122,0.096,0.856,0.08,0.008,0.006,0.014,0.077,0.01,0.001,0.0,0.0,0.001,0.01,3.149
1000,38,962.0,461.821,464.939,16.129,1.648,14.954,1.155,0.126,0.104,0.9,0.08,0.01,0.006,0.016,0.086,0.012,0.002,0.0,0.0,0.001,0.01,3.17
1000,39,961.0,460.846,464.059,16.502,1.691,15.274,1.193,0.132,0.111,0.948,0.09,0.011,0.006,0.016,0.089,0.014,0.002,0.0,0.0,0.001,0.014,3.201
1000,40,960.0,459.893,463.163,16.851,1.719,15.619,1.242,0.141,0.116,0.991,0.1,0.011,0.007,0.016,0.096,0.017,0.002,0.0,0.0,0.001,0.014,3.224
1000,41,959.0,458.896,462.313,17.225,1.765,15.918,1.293,0.143,0.118,1.043,0.107,0.011,0.007,0.016,0.106,0.019,0.003,0.0,0.001,0.001,0.014,3.255
1000,42,958.0,457.889,461.486,17.585,1.797,16.218,1.352,0.149,0.12,1.096,0.121,0.012,0.007,0.016,0.111,0.02,0.003,0.0,0.001,0.001,0.015,3.279
1000,43,957.0,456.947,460.601,17.92,1.829,16.529,1.406,0.155,0.124,1.16,0.132,0.016,0.007,0.016,0.115,0.02,0.003,0.0,0.001,0.001,0.016,3.305
