n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,498.9488,499.0512,0.5006,0.05,0.4494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,497.8919,498.1128,1.0001,0.0992,0.8913,0.0025,0.0006,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0047
1000,3,997.0,496.8535,497.1609,1.4875,0.1461,1.3377,0.0078,0.0008,0.0004,0.0052,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,2.0144
1000,4,996.0,495.8092,496.2192,1.9755,0.1954,1.7724,0.0137,0.0009,0.0015,0.0121,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,2.0282
1000,5,995.0,494.7593,495.2851,2.4632,0.2432,2.2052,0.0216,0.002,0.0017,0.0183,0.0001,0.0,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,2.0438
1000,6,994.0002,493.7182,494.3469,2.9434,0.2906,2.6372,0.0312,0.0032,0.0026,0.0261,0.0004,0.0,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,2.0636
1000,7,993.0002,492.7013,493.3869,3.4105,0.3372,3.0778,0.0416,0.0046,0.0035,0.0355,0.0007,0.0,0.0001,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,2.086
1000,8,992.0002,491.67,492.4447,3.8817,0.3842,3.5074,0.0537,0.006,0.0045,0.0459,0.0011,0.0,0.0002,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,2.1112
1000,9,991.0004,490.6297,491.5153,4.3537,0.4294,3.9312,0.0689,0.0074,0.0058,0.0559,0.0014,0.0,0.0003,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,2.1386
1000,10,990.0004,489.5959,490.5882,4.8177,0.4747,4.3459,0.0863,0.0088,0.0075,0.0701,0.0023,0.0,0.0003,0.0002,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,2.1743
1000,11,989.0004,488.5761,489.6451,5.2729,0.5215,4.7711,0.1048,0.0104,0.0089,0.0829,0.0028,0.0001,0.0004,0.0002,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,2.2063
1000,12,988.0006,487.5601,488.7102,5.7171,0.5689,5.1836,0.1275,0.0131,0.0109,0.1009,0.0038,0.0001,0.0005,0.0002,0.0036,0.0001,0.0,0.0,0.0,0.0,0.0,2.2484
1000,13,987.0006,486.5219,487.7919,6.1805,0.6147,5.5893,0.1461,0.0147,0.0127,0.1186,0.0049,0.0002,0.0005,0.0003,0.0042,0.0001,0.0,0.0,0.0,0.0,0.0,2.2842
1000,14,986.0006,485.4946,486.8685,6.6345,0.6607,5.9936,0.1661,0.0167,0.0158,0.1371,0.0062,0.0002,0.0006,0.0006,0.0052,0.0002,0.0,0.0,0.0,0.0,0.0,2.3219
